id,created_at,text
1372544664792920069,2021-03-18 21:00:00,"b'RT @bantg: If you are developing a project, consider offloading maintenance to keep3r network.'"
1372492026458034178,2021-03-18 17:00:00,"b""RT @fubuloubu: Staking more than $2.3m, and don't feel like spending hundreds of thousands a year in gas costs, hiring a full team to deal\xe2\x80\xa6"""
1372491884317265920,2021-03-18 17:00:00,b'RT @iearnfinance: 1/ The most-requested feature in Yearn\xe2\x80\x99s history has arrived: one-click yield farming.\n\nThanks to an integration with the\xe2\x80\xa6'
1372491802519961605,2021-03-18 17:00:00,b'Back over ATH TVL (that was during original YFI emission). 0 subsidies / incentives. https://t.co/fDZW35LEoa'
1372206030340362242,2021-03-17 22:00:00,b'RT @multichainxyz: https://t.co/yJZUkqCnUH updated;\n\nBatch 4 live\nBatch 5 queued (~2 day timelock)\nBatch 6 pending\n\nLaunched AnyswapV4ERC20\xe2\x80\xa6'
1372100565203890179,2021-03-17 15:00:00,b'https://t.co/OYPTBMNNT5 updated v1.1.0\n\nhttps://t.co/nuAdquoP3Y - compare collateral value across protocols\xe2\x80\xa6 https://t.co/45AqxUwPgm'
1372097937191403522,2021-03-17 15:00:00,b'https://t.co/BuRM8VwP5e updated;\n\n- 130 chains supported\n- Open sourced the code\n- Added source license https://t.co/caQHcfl8Oa'
1371809013759889416,2021-03-16 20:00:00,b'@mr_ligi @Trezor @WalletConnect @Philiff @bmann Happy to transfer the domain to your control if you like! Other tha\xe2\x80\xa6 https://t.co/MTojk93B9X'
1371800846980251649,2021-03-16 19:00:00,"b""@mr_ligi @Trezor @WalletConnect Apologies, will include the github on the UI; it is open source, just didn't add th\xe2\x80\xa6 https://t.co/qqZtHVPcC6"""
1371789665494306816,2021-03-16 19:00:00,"b'RT @AnyswapNetwork: #anyswap cross-chain bridge deployed on #Polygon, will launch soon.\n\n$ANY on Polygon:\nhttps://t.co/dvegDEdcF1 https://t\xe2\x80\xa6'"
1371713941148213250,2021-03-16 14:00:00,"b'""...a user with less than $761,684 staked would be at a loss and only earn more than yearn if they stake more than\xe2\x80\xa6 https://t.co/HibPDzXo85'"
1371708685332975616,2021-03-16 13:00:00,b'Sneak peek for a new https://t.co/OYPTBMNNT5 protocol integration; https://t.co/EMiNGWKNL1'
