id,created_at,text
1372714127723012098,2021-03-19 08:00:00,b'RT @Grayscale: Managing your #digitalcurrency portfolio should be as familiar to you as streaming your favorite shows. Learn more about gai\xe2\x80\xa6'
1372699212253650945,2021-03-19 07:00:00,"b""RT @CoinDesk: TOMORROW: @skybridge's @Scaramucci joins First Mover on #CDTV at 9 a.m. ET.\n\nTune in on https://t.co/yHMYaDyzNy. https://t.co\xe2\x80\xa6"""
1372698929003892736,2021-03-19 07:00:00,"b'RT @Grayscale: #Filecoin is a P2P network that intends to store data in a decentralized, open market method. As data storage solutions cont\xe2\x80\xa6'"
1372669127484129280,2021-03-19 05:00:00,b'RT @casatay: Might have to start moonlighting as a bartender for MANA tips https://t.co/t6Pjj4qfWp'
1372662509711339525,2021-03-19 05:00:00,"b'I loved my 100-hour workweeks when I started as an investment banker. Learned a ton, met a bunch of amazing people and was totally overpaid'"
1372654213784862721,2021-03-19 04:00:00,"b'RT @Grayscale: 03/18/21 UPDATE: Net Assets Under Management, Holdings per Share, and Market Price per Share for our Investment Products.\n\nT\xe2\x80\xa6'"
1372653040327606279,2021-03-19 04:00:00,"b""RT @CoinDesk: Flesh-and-blood hosts now work the virtual floor at @decentralgames' Tominoya Casino, bringing employment opportunities to th\xe2\x80\xa6"""
1372649533532962818,2021-03-19 04:00:00,b'RT @Grayscale: All aboard! Want to take your portfolio on a trip to @decentraland? Grayscale #Decentraland Trust allows you to gain exposur\xe2\x80\xa6'
1372637437000835076,2021-03-19 03:00:00,"b""RT @Grayscale: Have you heard of $BAT? Basic Attention Token is a blockchain-based system for tracking media consumers' time and attention\xe2\x80\xa6"""
1372595231485485056,2021-03-19 00:00:00,"b""No, I don't want to merge with your SPAC\n\nBut these companies might...\n\nhttps://t.co/Z0TvyQeHNu"""
1372568449659047942,2021-03-18 22:00:00,"b""RT @Grayscale: There's a new kid on the block. Learn more about Grayscale Chainlink Trust. $LINK https://t.co/HdNDe63s6J https://t.co/kLhgy\xe2\x80\xa6"""
1372567173831475204,2021-03-18 22:00:00,"b""RT @DCGco: Active @decentraland users have TRIPLED in Q1 &amp; they're flocking to @decentralgames $DG, the first player-owned virtual casino #\xe2\x80\xa6"""
1372314883371507713,2021-03-18 06:00:00,"b""There's way too much money floating around. This is going to end very badly"""
1372307219270791175,2021-03-18 05:00:00,"b'RT @BusinessInsider: The Grayscale Bitcoin Trust is now the largest public holder of bitcoin, but competition is heating up https://t.co/Ra\xe2\x80\xa6'"
1372185548723519489,2021-03-17 21:00:00,b'RT @Grayscale: Have you heard? We just launched five new digital currency investment trusts: https://t.co/wUTVJ9s4Xs\n\n- Grayscale\xc2\xae Basic At\xe2\x80\xa6'
1372179360761937922,2021-03-17 21:00:00,"b""RT @CoinDesk: Grayscale Investments, the world's largest digital asset manager,  announced it's offering trusts to allow investing in five\xe2\x80\xa6"""
1372173279742545928,2021-03-17 20:00:00,b'Grayscale Investments is offering new trusts to invest specifically in five different cryptocurrencies\n\n$BAT $LINK\xe2\x80\xa6 https://t.co/KVksIAaFC3'
1372170967510880261,2021-03-17 20:00:00,b'RT @Sonnenshein: ANNOUNCEMENT: 5 new products have been added to the @Grayscale line up!\n\nBasic Attention Token $BAT\nChainlink $LINK\nDecent\xe2\x80\xa6'
1371502628232912896,2021-03-16 00:00:00,b'@Ray_scale @decentraland nice cover story for your virtual speakeasy and casino upstairs'
1371112437840232451,2021-03-14 22:00:00,"b'Somebody just spent $110,000 on 23 lots of virtual land in @decentraland https://t.co/SKGFbdURaa'"
1371103563842269185,2021-03-14 21:00:00,"b'Well, hello there \xe2\x81\xa6@nytimes\xe2\x81\xa9 https://t.co/q3LogmWIvX'"
1370820967002476547,2021-03-14 04:00:00,b'@yabadabadeud @ShardiB2 $BTC $ETC $ZEC $ZEN $MANA $LPT'
1370362419890040841,2021-03-12 21:00:00,"b'One year ago today (bitcoin price: $4,000)\n\nBTFD, always https://t.co/LnXqMXJTua'"
1370338489162678272,2021-03-12 20:00:00,"b'RT @crypto: Grayscale Investments, the firm behind the biggest #Bitcoin trust, has posted at least nine ETF-related positions to LinkedIn,\xe2\x80\xa6'"
1370113964051431433,2021-03-12 05:00:00,b'UPDATED:\nBitcoin market cap ($1.07 trillion) as a percent of gold in circulation ($10.89 trillion) = 9.8% https://t.co/CWGHtIK7T3'
1370071563299618822,2021-03-12 02:00:00,b'@polemitis @TheStalwart @felixsalmon @joonian @beeple @decentraland @NIFTEX virtual drugs and everything'
1370070237505327115,2021-03-12 02:00:00,"b'@TheStalwart @polemitis @felixsalmon @joonian @beeple @decentraland @NIFTEX real or fake, you guys will all be invi\xe2\x80\xa6 https://t.co/BWP21LAA9U'"
1370065805942136832,2021-03-12 02:00:00,b'@joonian @felixsalmon @beeple @decentraland @NIFTEX Joon with the win!'
1370063476840882176,2021-03-12 01:00:00,b'The Foundry USA bitcoin mining pool is officially open for business!\n\nLooking forward to seeing a U.S.-based mining\xe2\x80\xa6 https://t.co/x2DmHyXESE'
1370061074570022918,2021-03-12 01:00:00,"b'@felixsalmon @joonian @beeple @decentraland @NIFTEX in the physical art world, does the owner of the original artwo\xe2\x80\xa6 https://t.co/WbMgegntUC'"
1370060445961359363,2021-03-12 01:00:00,b'@felixsalmon @beeple @decentraland @NIFTEX interesting'
1370060326276886528,2021-03-12 01:00:00,b'@felixsalmon @beeple @decentraland @NIFTEX so perhaps a protective/litigious NFT owner could send out a bunch of ce\xe2\x80\xa6 https://t.co/IDqFSVfkRY'
1370059828769480707,2021-03-12 01:00:00,"b""@felixsalmon @beeple @decentraland @NIFTEX candidly, i don't know if the owner of an NFT has the legal right to ask others not to display"""
1370059534761345043,2021-03-12 01:00:00,"b'@felixsalmon @beeple @decentraland @NIFTEX correct, in the same way that somebody could build a gallery and display a fake mona lisa'"
1370044662237511680,2021-03-12 00:00:00,"b""To whoever bought @beeple's 'The First 5000 Days':\n\nDCG will gladly build you a gallery in @decentraland to display\xe2\x80\xa6 https://t.co/xqSkybXjCr"""
1369635527239024643,2021-03-10 21:00:00,b'Digital Currency Group Announces Plan to Purchase Shares of Grayscale Bitcoin Trust (OTCQX: $GBTC)\n\nhttps://t.co/hJPnjGko1O'
1369298229054103555,2021-03-09 23:00:00,b'RT @DCGco: We are thrilled to welcome Michael Kraines to DCG as our first CFO. Michael brings more than 25 years of experience in FinTech t\xe2\x80\xa6'
1358930285476384769,2021-02-09 08:00:00,b'What a day'
1358798871720308738,2021-02-08 23:00:00,b'Are you a corporate treasurer and want to be like Elon?\n\nTalk to Genesis https://t.co/DGShgaTV3Q'
1358780967280922624,2021-02-08 22:00:00,b'Congrats to @CoinDesk on the official launch of CoinDesk TV!\n\nTune in here: https://t.co/g1OiiwbGMT'
1358766138025517060,2021-02-08 21:00:00,"b'Player 3 has entered the race. Good luck, @elonmusk https://t.co/tMvarGQtJ9'"
1358763705140457480,2021-02-08 21:00:00,"b""RT @CoinDesk: BREAKING: @Tesla has disclosed purchasing $1.5 billion in bitcoin. \n\nIt's also planning to accept bitcoin payments soon.\n\nVia\xe2\x80\xa6"""
1358759556738916352,2021-02-08 21:00:00,b'RT @BarrySilbert: Twitter is going to absolutely lose it\xe2\x80\x99s shit when Elon/Tesla disclose bitcoin holdings'
1358758667739406338,2021-02-08 21:00:00,b'Seen https://t.co/6RabSzkyzM'
1358736801545003009,2021-02-08 19:00:00,b'RT @Coin98Analytics: . @Grayscale Bitcoin Trust bought almost 1.5 times total #BTC mined during Jan 2021.\n\n#GoGrayscale #GoBitcoin \n\n#BTC $\xe2\x80\xa6'
1358600773987360769,2021-02-08 10:00:00,b'@Sonnenshein @Grayscale i\xe2\x80\x99m definitely going to sing in it'
1358596390885163010,2021-02-08 10:00:00,b'A @Grayscale TV commercial would have been the highlight of the Super Bowl. Next year?'
1358442497211584518,2021-02-08 00:00:00,b'@mcuban I can\xe2\x80\x99t wait for you to discover @decentraland. will blow your mind'
1358178016426393603,2021-02-07 06:00:00,"b""@xyz84512469 @CryptoYoda1338 it's on robinhood"""
1358177417806938112,2021-02-07 06:00:00,b'@CobraCrypto @CryptoYoda1338 good reverse psychology. smart'
1358175730744582145,2021-02-07 06:00:00,"b'@CryptoYoda1338 first MANA, now ETC? guess the crypto gods are watching'"
1358144203545542656,2021-02-07 04:00:00,"b""@zackvoell what's dogecoin?"""
1358110408872255488,2021-02-07 02:00:00,"b'RT @michael_saylor: Our @MicroStrategy World 2021 was a great success, with 22,031 registrants. The #Bitcoin for Corporations program attra\xe2\x80\xa6'"
1358077849782149121,2021-02-07 00:00:00,"b""RT @CoinDesk: Bill Miller's flagship fund filed to be able to invest in the Grayscale Bitcoin Trust. The $2.25b fund said it would cap its\xe2\x80\xa6"""
1357811849903882240,2021-02-06 06:00:00,"b'RT @Bloqport: BREAKING: After adding 21,112 $ETH over the past 24 hours, Grayscale now have over $5 billion Ether in assets. In just 7 days\xe2\x80\xa6'"
1357746327535439872,2021-02-06 02:00:00,b'DCG is 100% committed to backing @LunoGlobal and their customers in Nigeria\n\nWe are determined to ensure that all N\xe2\x80\xa6 https://t.co/GAeirMuGWO'
1357452048044818439,2021-02-05 06:00:00,b'@CryptoCobain i make a mean cup of coffee'
1357447168316100611,2021-02-05 06:00:00,"b'$30,000,000,000 AUM https://t.co/e6mruSQeig https://t.co/812dN7fOIP'"
1357446694535892995,2021-02-05 06:00:00,b'RT @GenesisTrading: Announcing Genesis Treasury -  helping proactive treasurers use bitcoin to optimize the mix of assets on their balance\xe2\x80\xa6'
1357376083994230785,2021-02-05 01:00:00,b'@carney lava. run!'
1357369488149254145,2021-02-05 01:00:00,b'Bitcoin will outlive Goldman Sachs https://t.co/N0gz11LzOj'
1357059128003342339,2021-02-04 04:00:00,b'RT @PhilJBonello: ETH! We @Grayscale are frequently asked how to think about the investment case and valuation framework for $ETH. Today se\xe2\x80\xa6'
1356749891696025600,2021-02-03 08:00:00,"b""@PeterSchiff peter, your son can't take over your firm soon enough. just do us all a favor and hand him the keys no\xe2\x80\xa6 https://t.co/eHhQn8nA5V"""
1356746311366762496,2021-02-03 07:00:00,"b'@PeterSchiff Eventually #gold demand will drop 100%, as it all comes from speculators. All they are doing is buying\xe2\x80\xa6 https://t.co/3nrzWo7e7s'"
1356729681874194432,2021-02-03 06:00:00,"b""@PeterSchiff @PeterMcCormack that's a lot of gold fillings you need to make up for that 14% drop in gold demand last year"""
1356725231994421253,2021-02-03 06:00:00,"b""@PeterMcCormack @PeterSchiff he couldn't even get his silver pump to stick"""
1356592220653162497,2021-02-02 21:00:00,b'Gold demand drops 14% in 2020\n\nhttps://t.co/99HmNx8GzQ'
1356585408033927168,2021-02-02 21:00:00,b'RT @CoinDesk: NEW: @Gemini is working with crypto lender @GenesisTrading to bring in new investors looking for yield on their holdings.\n\n@N\xe2\x80\xa6'
1356399216466284544,2021-02-02 08:00:00,"b'@JasonYanowitz when you come at the king, you best not miss'"
1356336148482842624,2021-02-02 04:00:00,b'@fintechfrank https://t.co/0O6I2UOpRB. proud papa here'
1356243005154463745,2021-02-01 22:00:00,b'RT @LunoGlobal: \xf0\x9f\x9a\x80 NEW COIN ALERT \xf0\x9f\x9a\x80\n\nUSD Coin ($USDC) is now available to buy and sell on #Luno \xf0\x9f\x99\x8c \n\nLearn more about it here: https://t.co/z\xe2\x80\xa6'
