id,created_at,text
1372760508227461120,2021-03-19 11:00:00,b'RT @NickSzabo4: @_RyanCalder @ArcaChemist @danheld @100trillionUSD @BitcoinErrorLog @APompliano @lopp @udiWertheimer @saifedean @SatoshiLit\xe2\x80\xa6'
1372715603954298881,2021-03-19 08:00:00,b'RT @richardcaseyhpc: Nakamoto design specification https://t.co/N3dBHryEZi'
1372715362790219778,2021-03-19 08:00:00,"b'RT @culkin22: My salary is league minimum. But if I\xe2\x80\x99m buying #Bitcoin or better yet, paid in #BTC.. I\xe2\x80\x99m one of the highest paid players.  F\xe2\x80\xa6'"
1372605559736700928,2021-03-19 01:00:00,"b'RT @michael_saylor: In 2019, American Airlines spent $9.395 billion on fuel to generate $3.065 billion in operating income.  Energy intensi\xe2\x80\xa6'"
1372559828871094275,2021-03-18 22:00:00,"b'No one will get bailed out in #bitcoin. It has no lender of last resort, and I consider that a feature not a bug https://t.co/DnQ4NM90ZU'"
1372552541435654148,2021-03-18 21:00:00,"b'RT @newmoneyreview: @CaitlinLong_ Obviously yields are much lower now, but the debt in the system is far higher than in 1994. So we should\xe2\x80\xa6'"
1372552420300001282,2021-03-18 21:00:00,"b""@newmoneyreview @ChrisWhodl Yep--just as 1994 was consequence of Greenspan response to '87 crash, which was conseq\xe2\x80\xa6 https://t.co/jT2fNmRoFK"""
1372549021466652679,2021-03-18 21:00:00,b'@newmoneyreview Yep. I worked on bank M&amp;A back then. Many banks &amp; mortgage lenders had no choice but to sell--they\xe2\x80\xa6 https://t.co/rOr39hLXtQ'
1372547577426579459,2021-03-18 21:00:00,"b""true 'dat! I started my career at Salomon Brothers in 1994, right into those headwinds. Learned a ton... https://t.co/knUaxXfWM5"""
1372546969399222272,2021-03-18 21:00:00,"b'POLL:  THIS BOND MARKET CORRECTION will most closely resemble ____, as the 10-yr US Treasury yield today jumped to\xe2\x80\xa6 https://t.co/t0Yb4vuR5P'"
1372519939416879107,2021-03-18 19:00:00,"b'RT @100trillionUSD: #Bitcoin looking strong! IMO we will see RSI &gt; 95 and we will stay at that level for a couple of months (like 2017, 201\xe2\x80\xa6'"
1372377078813790210,2021-03-18 10:00:00,b'RT @AvantiBT: Join the @AvantiBT team and help build a future where all banks support #bitcoin &amp; #crypto + offer *meaningful* API capabilit\xe2\x80\xa6'
1372347846821736449,2021-03-18 08:00:00,"b'RT @RuLooking4This2: One word, adoption... https://t.co/rxaBOXz7L2'"
1372347033206419458,2021-03-18 08:00:00,b'3/ ...plus these too!\n\n* Senior Software Engineer: https://t.co/F03wWBVWfn\n\n* System Administrator:\xe2\x80\xa6 https://t.co/rtiyGevJ4V'
1372347031818174465,2021-03-18 08:00:00,b'2/ Here are the new job postings @AvantiBT:\n\n* Senior Banking Operations Manager: https://t.co/yTN4qTix5b\n\n* Bank O\xe2\x80\xa6 https://t.co/sdPaAIRFAG'
1372347030337593348,2021-03-18 08:00:00,"b'1/ AVANTI KICKED OFF A HIRING BLITZ as we move toward launch, posting jobs in finance, bank operations, engineering\xe2\x80\xa6 https://t.co/DwOoOX0Kjz'"
1372261695649816578,2021-03-18 02:00:00,"b'RT @LibertyBlitz: While in the transition phase from one paradigm to another, many aspects of the old paradigm will remain firmly in place\xe2\x80\xa6'"
1372227512659365888,2021-03-18 00:00:00,b'RT @TheBitcoinConf: \xf0\x9f\x9a\xa8 Headline speaker announcement! \xf0\x9f\x9a\xa8\n\nWe are delighted to have @SenLummis speak at #Bitcoin2021 in #Miami!\n\nLummis is the\xe2\x80\xa6'
1372197350295277570,2021-03-17 22:00:00,b'RT @BradHubbard: @Aarondklein @USTreasury It\xe2\x80\x99s one of the reasons I invest in crypto. @CaitlinLong_ discussed this on the @Unchained_pod'
1372152387981377541,2021-03-17 19:00:00,"b""RT @yulgan: \xe2\x80\x9cThe trust model we have today is people. And unfortunately, that's proved to be failable. But math is not.\xe2\x80\x9d @CaitlinLong_ lect\xe2\x80\xa6"""
1372036523986616324,2021-03-17 11:00:00,"b'@dustinwatchman @CynthiaMLummis All of the above sources of energy. #Bitcoin miners already here--solar, wind, hydr\xe2\x80\xa6 https://t.co/dsKYE7KnIc'"
1372030548705615877,2021-03-17 11:00:00,b'RT @CynthiaMLummis: And Wyoming energy is the largest artery.'
1372010618698403840,2021-03-17 09:00:00,"b""@spike401 true 'dat!\xf0\x9f\x99\x8f\xf0\x9f\xa4\xa0"""
