id,created_at,text
1372732663182807041,2021-03-19 09:00:00,b'@jenzhuscott you\xe2\x80\x99re a high speed rail influencer \xe2\x9d\xa4\xef\xb8\x8f'
1372732525278326786,2021-03-19 09:00:00,b'@58gems @matt_odell \xf0\x9f\x91\x80\xf0\x9f\x91\x80\xf0\x9f\x91\x80'
1372726926985531394,2021-03-19 09:00:00,b'\xe2\x98\x95\xef\xb8\x8f\xf0\x9f\xab\x96\n\nlooking for tea'
1372705017111711747,2021-03-19 07:00:00,b'@ethlambo @cmsholdings @DDX_Official forever'
1372691148964237312,2021-03-19 06:00:00,"b""@StaniKulechov can't wait"""
1372688237840457729,2021-03-19 06:00:00,"b'@nustiudinastea thanks, will read!'"
1372688103308201992,2021-03-19 06:00:00,b'@GoodKrak right? i LOVE the way he used words all throughout'
1372652401589641222,2021-03-19 04:00:00,"b""@br_ttany @StacksOrg when i first started in VC, i learned from you @br_ttany - so we're coming full circle!"""
1372652254986141698,2021-03-19 04:00:00,"b'in which the author examines what consciousness is, and explains why computers cannot have consciousness \n\nhttps://t.co/bR4sizXRYI'"
1372647884701773827,2021-03-19 04:00:00,b'@daatdarling my saturday evenings'
1372627672057151493,2021-03-19 02:00:00,b'@TheStalwart @LorcanRK round here we say THE GUBMENT @nic__carter'
1372627571523870725,2021-03-19 02:00:00,b'@vincelikesmusic @LynAldenContact @TheStalwart @BitcoinTinder exists tho'
1372627101359149057,2021-03-19 02:00:00,b'@_antiCHRIS @aeyakovenko deceased'
1372627019683532801,2021-03-19 02:00:00,b'@aeyakovenko drift and volatiliiityyyyyyyy of my options contractssssssss'
1372615859345231875,2021-03-19 01:00:00,"b'working on my session for the upcoming @RealVision #cryptogathering - gonna be a real \xf0\x9f\x94\xa5 scorcher \xf0\x9f\x94\xa5 (figuratively, o\xe2\x80\xa6 https://t.co/P4nzoENbkP'"
1372581148505804808,2021-03-18 23:00:00,b'@katie_haun @a16z @opensea congrats!'
1372580602327805953,2021-03-18 23:00:00,b'@statebox \xf0\x9f\xa4\x98'
1372576229069557764,2021-03-18 23:00:00,b'@statebox this is awesome! will a condensed version or materials be accessible after?'
1372575936936304642,2021-03-18 23:00:00,b'@paraswap \xf0\x9f\xa5\x96 FUTURE OF FRANCE \xf0\x9f\x87\xab\xf0\x9f\x87\xb7 IS BRIGHT INDEED'
1372575729901309952,2021-03-18 23:00:00,b'@mikojava @muneeb hahaha i get so fired up!'
1372575558270394368,2021-03-18 23:00:00,b'@muneeb hah you know i get emotional about the corn \xf0\x9f\x8c\xbd'
1372564559844806658,2021-03-18 22:00:00,b'@fintechjunkie Frank - happy to chat about bitcoin anytime! would love to hear your questions. will DM you my cell.'
1372563817121595396,2021-03-18 22:00:00,"b'@muneeb thanks, Muneeb, i\xe2\x80\x99ve always enjoyed our friendship and am excited to continue working together \xf0\x9f\x9a\x80'"
1372507267703128066,2021-03-18 18:00:00,b'@loomdart i\xe2\x80\x99m inner ring material!'
1372439510810771458,2021-03-18 14:00:00,b'@RampCapitalLLC @QuickenLoans yes'
1372434630608089088,2021-03-18 13:00:00,b'@matt_odell @SamouraiWallet make it stop'
1372389672182222848,2021-03-18 10:00:00,b'@crypt0cranium i believe this is called self awareness - proud of u babe'
1372389443282292736,2021-03-18 10:00:00,"b""@kongmulvad @Stacks @br_ttany @fifaifofo @zavaindar @jeffwilser @decryptmedia LET'S MAKE IT HAPPEN KJELL"""
1372389374617382915,2021-03-18 10:00:00,b'@gmchung94 @Stacks @br_ttany @fifaifofo @zavaindar @jeffwilser @decryptmedia \xf0\x9f\xa4\x9f'
1372389315293163523,2021-03-18 10:00:00,b'@jayzhaoyun @Stacks @br_ttany @fifaifofo @zavaindar @jeffwilser @decryptmedia thank you'
1372389169994084354,2021-03-18 10:00:00,"b""@crypt0cranium it's sarcasm but i still won't date u cuz bad attitude"""
1372388420174159877,2021-03-18 10:00:00,b'@dergigi i miss chris and junseth \xe2\x9d\xa4\xef\xb8\x8f'
1372371000030081031,2021-03-18 09:00:00,b'@d0h0k1 new favorite CT personality'
1372369985658621956,2021-03-18 09:00:00,"b""except i won't date you if you claim your bitclout account\n\ngood self-defense mechanism huh https://t.co/zA7OqnJF9E"""
1372347797140340736,2021-03-18 08:00:00,b'@Peacockg @Stacks @br_ttany @fifaifofo @zavaindar @jeffwilser @decryptmedia this is amazing lol'
1372347638645993472,2021-03-18 08:00:00,"b""@RaymondDurk thanks, raymond. between Lightning Network and Stacks, i'm really excited about what new use cases for Bitcoin we can unlock!"""
1372347341135548417,2021-03-18 08:00:00,b'@RealOpjt @Stacks @br_ttany @fifaifofo @zavaindar @jeffwilser @decryptmedia just recorded a new @CoinDesk podcast w\xe2\x80\xa6 https://t.co/e61OjSGoqb'
1372346604246741000,2021-03-18 08:00:00,"b""@B2B_Writer for me, it's never gone away. i have learned not to feel bad about it or let it diminish my joy.\n\nnon s\xe2\x80\xa6 https://t.co/52TG25pLe6"""
1372345503992717315,2021-03-18 08:00:00,b'gold is a shiny rock. bitcoin is not a rock. \n\nexcited to join the @Stacks Foundation w/ @br_ttany @fifaifofo\xe2\x80\xa6 https://t.co/HlnZvBbY8o'
1372343570796056581,2021-03-18 07:00:00,b'@B2B_Writer being human \xe2\x9d\xa4\xef\xb8\x8f'
1372343287735025668,2021-03-18 07:00:00,"b'@jasonklau @Stacks thanks, Jason!  bitcoin has so much more to offer the world than ""digital gold"" - it\'s up to us\xe2\x80\xa6 https://t.co/mQLxIHTjn9'"
1372263060631617540,2021-03-18 02:00:00,b'RT @caroljsroth: Artist rendering of Jerome Powell further helping to sell out Main Street to Wall Street... https://t.co/4Nnq43Ejp4'
