id,created_at,text
1372734434927996931,2021-03-19 09:00:00,"b""The Chainlink Network's various decentralized services, provide both the validated data, and off-chain computation\xe2\x80\xa6 https://t.co/Zs1qhwMIAU"""
1372018183515762688,2021-03-17 10:00:00,b'Chainlink Networks are important for provably rare NFT creation in multiple ways.\n\nChainlink VRF provides provably\xe2\x80\xa6 https://t.co/n5TNmWv32Q'
1370213091837808647,2021-03-12 11:00:00,"b'As the limitations of smart contracts are solved, the ability to reinvent multiple industries is emerging; ownershi\xe2\x80\xa6 https://t.co/lfJ3eEpnxO'"
1369488522827112450,2021-03-10 11:00:00,"b'RT @chainlink: Less than 1 week left to register for the #Chainlink Spring 2021 Virtual Hackathon! Sign up to compete for $100k+ in prizes,\xe2\x80\xa6'"
1367678264379023362,2021-03-05 11:00:00,"b'Chainlink OCR is a 10X improvement in the overall scalability of all Chainlink networks, enabling us to provide eve\xe2\x80\xa6 https://t.co/ykiRJOfc7k'"
1366951729422422023,2021-03-03 11:00:00,"b""The global financial system is based on people's trust in their ability to gain a return, with predictable risks, w\xe2\x80\xa6 https://t.co/7dRUQ1XIJ6"""
1364434741672349698,2021-02-24 13:00:00,b'We\xe2\x80\x99re looking for talented people to help build @Chainlink. If you want to work alongside a remote team of industry\xe2\x80\xa6 https://t.co/AFkDcTdhCp'
1362239734332805122,2021-02-18 11:00:00,b'Validated data is just one use case of trust minimized off-chain computation. There are entire categories of servic\xe2\x80\xa6 https://t.co/Em3Qk8vpV1'
1360108958237786112,2021-02-12 14:00:00,b'The difference between paper promises/brand-based contracts and cryptographic/math-based contracts will continue to\xe2\x80\xa6 https://t.co/x1s1bWXRLc'
1359316951210749952,2021-02-10 10:00:00,b'DeFi Fast Case: a global market correction makes #DeFi a safe haven providing high yields and low counterparty risk\xe2\x80\xa6 https://t.co/grfLELVNMP'
1357529811082641413,2021-02-05 11:00:00,b'RT @Smart_Contract: We\xe2\x80\x99re growing the team to support the rapid adoption of @Chainlink &amp; meet the increasing demand for reliable oracles in\xe2\x80\xa6'
1356806052486942724,2021-02-03 11:00:00,"b""As more contractual breaches like #robinhood appear, the need for trustworthy contracts that go beyond a brand's pa\xe2\x80\xa6 https://t.co/9C3iNTT6TK"""
1354990887604899843,2021-01-29 11:00:00,"b'Whether it\'s communication, free speech or fair participation in markets, ""brand-based"" platforms will always put t\xe2\x80\xa6 https://t.co/JS1XaTeIZL'"
1354263499568861191,2021-01-27 11:00:00,"b'RT @el33th4xor: Back with another #FreeLoveFriday. Last time, we covered how Mastercoin/@Omni_Layer pioneered digital asset issuance on blo\xe2\x80\xa6'"
1352455910250012673,2021-01-22 11:00:00,"b""Just like the internet's infrastructure matured to an inflection point before its best use cases went live, we are\xe2\x80\xa6 https://t.co/ZgGtVy9z51"""
1351733639910879234,2021-01-20 11:00:00,"b'Global financial markets seek yield, want to avoid counterparty risk and fear rapidly rising inflation from unprece\xe2\x80\xa6 https://t.co/pSuMzRiW1S'"
1349916149643837440,2021-01-15 11:00:00,"b""RT @PaxosGlobal: We're proud to announce Paxos is partnering with @chainlink to leverage its decentralized oracle network. This will boost\xe2\x80\xa6"""
1349196883982389252,2021-01-13 11:00:00,"b'Providing accurate data from hundreds of high quality data sources that provide a tamper-proof global price, in a d\xe2\x80\xa6 https://t.co/da7tTiSP9X'"
1347386225963921409,2021-01-08 12:00:00,b'Implicit staking and explicit staking are both powerful cryptoeconomic forces. While Implicit staking creates  guar\xe2\x80\xa6 https://t.co/ufMDYa3Rxu'
1347385865195069441,2021-01-08 12:00:00,"b'Implicit staking has already created significant security for various protocols like #Bitcoin, with the assets that\xe2\x80\xa6 https://t.co/ZOKRdSABY9'"
1346658844672368641,2021-01-06 11:00:00,b'RT @chainlink: #Chainlink generates virtuous cycles of growth where node operators compete for the growing amount of user fees by improving\xe2\x80\xa6'
1341586460965781507,2020-12-23 11:00:00,"b'While #DeFi is just getting started, with only ~2.4% (16Bn) of cryptoassets ($660Bn) secured by DeFi Protocols.\n\nPr\xe2\x80\xa6 https://t.co/1lAs46FK2B'"
1339035461239492610,2020-12-16 11:00:00,b'RT @chainlink: Chainlink is bridging the gap between enterprise systems &amp; blockchains. This summary of the interoperability paper we co-wro\xe2\x80\xa6'
1337232881995841538,2020-12-11 11:00:00,"b'RT @chainlink: We\xe2\x80\x99re excited to share a new paper that we co-authored with @WEF, exploring the importance of decentralized oracles for conn\xe2\x80\xa6'"
1336464819407339521,2020-12-09 08:00:00,"b'Composability of smart contracts and oracles into various #DeFi protocols, that then go on to rely on each other as\xe2\x80\xa6 https://t.co/B5aTABlqPK'"
1334701670308093953,2020-12-04 12:00:00,b'Some of the key considerations for creating a secure and reliable oracle for #DeFi and various smart contract use c\xe2\x80\xa6 https://t.co/IhbSVAkPvm'
1334012388006191104,2020-12-02 14:00:00,"b'Because trading volume can rapidly shift, good market coverage enables a global market price that is immune to mani\xe2\x80\xa6 https://t.co/3BLG2sJUqP'"
1332461144225816586,2020-11-28 07:00:00,b'RT @spencernoon: It\xe2\x80\x99s becoming clear that @chainlink is the best oracle for #DeFi applications.'
1332075725898313730,2020-11-27 06:00:00,"b'#DeFi protocols should avoid using a single exchange or even just a few exchanges as their price source, regardless\xe2\x80\xa6 https://t.co/5Xjxv48KPE'"
1331791978908975105,2020-11-26 11:00:00,b'RT @YahooFinance: .@Chainlink Co-Founder @SergeyNazarov\xc2\xa0discusses the Bitcoin rally: \xe2\x80\x9cI think there\xe2\x80\x99s basically three key factors and they\xe2\x80\xa6'
1329935143578923009,2020-11-21 08:00:00,"b'RT @decryptmedia: Value DeFi was the victim of a flash loan attack, the result of its centralized price oracle. It has now enlisted Chainli\xe2\x80\xa6'"
1328542630351831040,2020-11-17 12:00:00,"b'This risk also extends beyond on-chain oracles, and is something that #DeFi smart contract developers should become\xe2\x80\xa6 https://t.co/hYNfH3qsf1'"
1328541141822672898,2020-11-17 12:00:00,"b'An increasing number of on-chain price oracles are being exploited via flash loans, as a way to easily manipulate p\xe2\x80\xa6 https://t.co/wRCd5Fnexk'"
1326370996631203840,2020-11-11 12:00:00,"b'RT @chainlink: The new Chainlink website is now live with up-to-date developer resources, decentralized oracle use cases, major #Chainlink\xe2\x80\xa6'"
1324553154789142528,2020-11-06 11:00:00,"b'Any data or API can become easily sold across blockchains:\n\n1. Sell existing APIs to Chainlink Oracle Networks, wit\xe2\x80\xa6 https://t.co/jdkdNtGUjO'"
1323830840514637825,2020-11-04 12:00:00,"b'Great work by @Everipedia and @AP in making US election data secured and available on-chain, across multiple chains\xe2\x80\xa6 https://t.co/2TbnTEQAtY'"
1321274550508609536,2020-10-28 09:00:00,"b'Just like web developers combine multiple APIs, libraries and external services to quickly build high value web app\xe2\x80\xa6 https://t.co/cf6wiH7XEc'"
1318738295161982976,2020-10-21 09:00:00,"b'A discussion about smart contract insurance with Sid Jha of @ArbolMarket, which is providing live weather insurance\xe2\x80\xa6 https://t.co/75Zl8xzzsz'"
1317256371566374913,2020-10-17 07:00:00,"b'RT @chainlink: Ben Chan, former BitGo CTO &amp; WBTC architect, has joined #Chainlink Labs as VP of Engineering. He will enable the engineering\xe2\x80\xa6'"
1314347295966543872,2020-10-09 06:00:00,b'Proof of Reserve allows #DeFi protocols to have proof about the collateral they rely on. Encouraging the use of tha\xe2\x80\xa6 https://t.co/cbSExsqVDu'
1313264173795614723,2020-10-06 07:00:00,b'It seems likely DeFi will be adopted by existing financial institutions as a new financial product. Starting with a\xe2\x80\xa6 https://t.co/X0yf2HUxMq'
1312097389751103488,2020-10-03 01:00:00,b'Smart contracts are enabling farmers all over the world to effectively manage key risk like droughts and forest fir\xe2\x80\xa6 https://t.co/EEeRYVffyH'
1311815002471297024,2020-10-02 07:00:00,"b'Excited to share my presentation from #SmartCon, covering the expansive nature of what oracles can achieve for\xe2\x80\xa6 https://t.co/kaMQg8sYjy'"
1307102694746845194,2020-09-19 07:00:00,"b""If you're an engineer interested in truly understanding various blockchains, learning from other top engineers and\xe2\x80\xa6 https://t.co/884zFlmfbS"""
1305648900284379136,2020-09-15 06:00:00,"b""RT @chainlink: To provide stronger fairness guarantees for #DeFi and help accelerate overall mainstream adoption, we're presenting our init\xe2\x80\xa6"""
1302026515803119619,2020-09-05 07:00:00,"b'Thank you to all the amazing speakers, community members and the truly committed conference organizers who made\xe2\x80\xa6 https://t.co/PeTve20fW7'"
1300554589830180864,2020-09-01 05:00:00,"b""RT @chainlink: We're thrilled about our acquisition of DECO https://t.co/GMN1yFmPoM, enabling #Chainlink to put more high quality data on-c\xe2\x80\xa6"""
1298752750650421251,2020-08-27 06:00:00,b'Generating definitive truth is a unique capability of decentralized computation; while blockchains do this well for\xe2\x80\xa6 https://t.co/TBccRwMJb4'
1296921321129906176,2020-08-22 04:00:00,"b'Join me and many smart contract industry leaders at #SmartCon, from August 28th to 29th: https://t.co/eaZbPGMzgG. W\xe2\x80\xa6 https://t.co/qrDL0hk5PV'"
1296221287287726080,2020-08-20 06:00:00,b'Providing validated weather data on-chain is already enabling an entirely new category of universally connected sma\xe2\x80\xa6 https://t.co/8gBWyfwDEr'
1294440159623036928,2020-08-15 08:00:00,"b""Thrilled to share my presentation from @initc3org's bootcamp: https://t.co/joVAqb2GbO, covering some of the key poi\xe2\x80\xa6 https://t.co/ADbX21cLpX"""
1294435042366693379,2020-08-15 08:00:00,b'RT @chainlink: We\xe2\x80\x99re excited to launch the Chainlink Bug Bounty Program on @gitcoin: https://t.co/mWu8jRrSed. With support from the Chainli\xe2\x80\xa6'
1291866728591323136,2020-08-08 06:00:00,"b'Data quality is an important consideration for smart contract developers to keep in mind, and especially relevant w\xe2\x80\xa6 https://t.co/VNWqUbh6MY'"
1290432142992760832,2020-08-04 07:00:00,b'One scenario for the adoption of smart contracts as the dominant form of digital agreement is driven by a loss of f\xe2\x80\xa6 https://t.co/9E1b1otQI2'
1289342118603845633,2020-08-01 06:00:00,"b'RT @chainlink: We\xe2\x80\x99re thrilled to launch the Chainlink Community Grant Program. As we enter the next stage of rapid growth in usage, network\xe2\x80\xa6'"
