id,created_at,text
1372744091188924417,2021-03-19 10:00:00,b'@tech0ptimist @AaveAave @keirsim @pugson \xf0\x9f\xa5\xac'
1372675065133809667,2021-03-19 05:00:00,b'These folks will be replaced by community-owned protocols https://t.co/XOI5meeqrD'
1372668338783014914,2021-03-19 05:00:00,b'RT @santiagoroel: Join @StaniKulechov and me next Wednesday at 5pm ET to discuss all things L2 with the @arbitrum team (@sgoldfed @ajwarner\xe2\x80\xa6'
1372635328562003982,2021-03-19 03:00:00,b'\xf0\x9f\x87\xab\xf0\x9f\x87\xb7\xf0\x9f\x94\xa5 https://t.co/9z3azOtklr'
1372629916810948612,2021-03-19 02:00:00,"b'@NEPTUNEDA0 brings Liquidity-as-a-Service, an initiative to empower DeFi protocols \xf0\x9f\x91\x8f https://t.co/9kkOFMQ9Xj'"
1372598883096932358,2021-03-19 00:00:00,b'@ashleighschap @Melt_Dem @Jenny_Pollack @rleshner @cjliu49 @MPtherealMVP @abbey_titcomb @_callil @kaiynne\xe2\x80\xa6 https://t.co/unoU6llO5Q'
1372588850892075010,2021-03-19 00:00:00,b'Congrats to @vegaprotocol for the raise \xf0\x9f\x91\x8f https://t.co/DWVh56y3CC'
1372588667462680578,2021-03-19 00:00:00,b'You can now use decentralized vault and have deposits to @AaveAave as part of your strategy in @enzymefinance thank\xe2\x80\xa6 https://t.co/a7Fe3Slgoo'
1372546095096664064,2021-03-18 21:00:00,b'@AaveAave AMM market is entering into DeFi pop culture https://t.co/x6jcOhcqej'
1372343774274289665,2021-03-18 07:00:00,"b""I don't buy an NFT from someone who bought it recently to sell it at profit. Art NFTs are NOT investments, not for many years to come"""
1372343129467199491,2021-03-18 07:00:00,b'RT @Jruffhouse: Hey @fastackl @StaniKulechov @BlockchainJames thanks for screwing me over by supporting me and investing in my nfts. Y\xe2\x80\x99all\xe2\x80\xa6'
1372215010290765824,2021-03-17 23:00:00,"b'Full growth dashboard will be ready soon, stay tuned \xf0\x9f\x91\xbb https://t.co/6Y0YLJlSZj'"
1372215005576359945,2021-03-17 23:00:00,"b'aToken holders, dominated by ETH and stablecoins https://t.co/4xYkVTTC0H'"
1372215001264558082,2021-03-17 23:00:00,b'This is how organic growth without liquidity mining looks https://t.co/pzw5YLF6VX'
1372214996873134081,2021-03-17 23:00:00,b'More new users are finding Aave Protocol \xf0\x9f\x91\x8f\xf0\x9f\x8f\xbd https://t.co/8kvACWd4yO'
1372214992758530056,2021-03-17 23:00:00,b'Around 3 mm AAVE tokens staked to backstop the protocol (currently over 1 B USD worth of backstop to cover potentia\xe2\x80\xa6 https://t.co/yJqSwmKURg'
1372214987930927118,2021-03-17 23:00:00,b'V2 started to collect Reserve Factor from generated interest rate into the protocol treasury (they increase in aTok\xe2\x80\xa6 https://t.co/hL9dUVr0Sb'
