id,created_at,text
1372580964648562690,2021-03-18 23:00:00,"b'RT @MonicaLongSF: Hate crimes against AAPI communities are rising (ex: in 2020 by 1900% in NYC). As an Asian-American woman, I\xe2\x80\x99m heartbroke\xe2\x80\xa6'"
1370132420649914373,2021-03-12 06:00:00,"b'RT @s_alderoty: ""Not only is the future of the U.S. crypto industry at stake, but the arrogance of unrestrained regulators making policy th\xe2\x80\xa6'"
1369390193850134539,2021-03-10 05:00:00,"b'While specific settlement terms are confidential here, it\xe2\x80\x99s clear to all that without accountability and action, tr\xe2\x80\xa6 https://t.co/doNwe8cXCs'"
1369390192986107910,2021-03-10 05:00:00,b'Social platforms are starting to acknowledge their role in allowing crypto scams to persist and recognize the need\xe2\x80\xa6 https://t.co/HuAQJfUWRx'
1369390192130457602,2021-03-10 05:00:00,"b'Last year, @Ripple and I sued @YouTube for failing to enforce its own policies by allowing fake accounts (impersona\xe2\x80\xa6 https://t.co/yzQmJSmha9'"
1369034532872204290,2021-03-09 05:00:00,"b'While the lack of a crypto reg framework has needlessly muddied the waters for U.S. businesses &amp; consumers, there\xe2\x80\x99s\xe2\x80\xa6 https://t.co/MxlGMxMyjs'"
1369034531865563150,2021-03-09 05:00:00,"b'Today, we\xe2\x80\x99re announcing that Ripple and MGI have together decided to wind down our current partnership agreement, a\xe2\x80\xa6 https://t.co/Ih4DkCpXiR'"
1369011978245640197,2021-03-09 04:00:00,b'@StraightUpXRP @VitalikButerin Ripple (and more recently the SEC!) has made me balder and much grayer\xe2\x80\xa6 but still re\xe2\x80\xa6 https://t.co/qfbZaLIVN1'
1368998552337285126,2021-03-09 03:00:00,"b'.@danprimack - as you aptly said, \xe2\x80\x9cThe crypto industry is now large enough and old enough that it deserves a US reg\xe2\x80\xa6 https://t.co/HycuvAd5L0'"
1368038132415746049,2021-03-06 11:00:00,b'...and now the SEC affirms that no determination has been made about XRP and it didn\xe2\x80\x99t order or ask anyone to halt\xe2\x80\xa6 https://t.co/1wA7M0up13'
1368038131375611910,2021-03-06 11:00:00,"b'This is why regulation by enforcement wreaks such havoc. By bringing a massive enforcement case, the SEC acknowledg\xe2\x80\xa6 https://t.co/REGC3Mlbtz'"
1367222685059620865,2021-03-04 05:00:00,"b'Today, a letter was filed on my behalf indicating my intent to file a Motion to Dismiss in response to the SEC\xe2\x80\x99s am\xe2\x80\xa6 https://t.co/XJKsSxghZC'"
1364976048643825668,2021-02-26 01:00:00,"b'A big step for Coinbase, and a giant leap for the industry. Congrats! https://t.co/8S8uUFzdBx https://t.co/1bbZNV6GiZ'"
1364739505429700611,2021-02-25 09:00:00,b'Biden Administration\xe2\x80\x99s priorities are clear - they talk about climate change everyday. Instead of arguing about exa\xe2\x80\xa6 https://t.co/21ToSAU5nQ'
1363973137826684928,2021-02-23 06:00:00,"b'RT @ashgoblue: In 2019 we signed a *multi-year* deal with MGI, still fully in place. They\xe2\x80\x99ve temporarily suspended using ODL \xe2\x80\x94 for obvious\xe2\x80\xa6'"
1363902900414472194,2021-02-23 01:00:00,b'Thanks @CaitlinLong_! Wyoming is a leader in establishing a comprehensive regulatory framework for crypto (regardle\xe2\x80\xa6 https://t.co/IxlaW37IQe'
1362907621309693957,2021-02-20 08:00:00,"b'Amazing! With the total market cap of crypto only $1b &lt;10 years ago, it seemed inevitable to me that we would see t\xe2\x80\xa6 https://t.co/otcSHG5BYH'"
1362518035207102470,2021-02-19 06:00:00,"b'RT @s_alderoty: As many of you have seen, the SEC filed an amended complaint today. The only legal claim remains: did certain distributions\xe2\x80\xa6'"
1361825527036661760,2021-02-17 08:00:00,"b""Can't help it -- dashes are so much better! https://t.co/xZvetjr9AF"""
1357862824727306247,2021-02-06 09:00:00,b'RT @MonicaLongSF: Q4 was eventful for XRP Markets. Major banks - DBS and Standard Chartered Ventures - integrated XRP into their crypto off\xe2\x80\xa6'
1355212673860956162,2021-01-30 02:00:00,"b'Our defense begins today. Innovation is on trial, and we stand shoulder to shoulder w/ our partners &amp; the community\xe2\x80\xa6 https://t.co/0O98Dy9TEq'"
1354194983343988738,2021-01-27 07:00:00,"b'RT @s_alderoty: Some objective analysis on the SEC\xe2\x80\x99s complaint from Joe Hall, partner at Davis Polk, who was previously at the SEC in Senio\xe2\x80\xa6'"
1353801508228239362,2021-01-26 04:00:00,"b'We added 100+ new faces to the Ripple team, including several leadership members. We have an incredible, resilient\xe2\x80\xa6 https://t.co/NzpEB2GzCa'"
1353801507443904512,2021-01-26 04:00:00,"b'RippleX contributed to XRPL version upgrades, created a tool with Energy Web so ANYONE can help decarbonize the blo\xe2\x80\xa6 https://t.co/tlSwPEDfYW'"
1353801506592444416,2021-01-26 04:00:00,"b'2020 was a banner year for @Ripple, despite a disappointing ending related to U.S. regulation (understatement?). We\xe2\x80\xa6 https://t.co/0Xqgf2Ixcp'"
1352035733570154497,2021-01-21 08:00:00,b'Day 1 priorities for @POTUS \xe2\x9c\x85 https://t.co/jILDgSIiwJ'
1351248993939030018,2021-01-19 03:00:00,b'Congrats to Gary Gensler! We\xe2\x80\x99re ready to work with SEC leadership and the broader Biden administration to chart a p\xe2\x80\xa6 https://t.co/dqVhbnnRCb'
1349453942707560448,2021-01-14 05:00:00,b'If you ever had doubts that crypto was going to play an integral role in the future of our global financial systems\xe2\x80\xa6 https://t.co/Xl4EEuDzdI'
