id,created_at,text
1372622004751323139,2021-03-19 02:00:00,b'RT @michael_saylor: #Bitcoin runs on stranded energy at the edge of the grid and acts as a global battery for otherwise idle generation fac\xe2\x80\xa6'
1372554286194900992,2021-03-18 21:00:00,b'RT @block_one_: We are excited to award a grant supporting @EOS_Nation and EOS Asia in building a community-driven portal to fund open-sour\xe2\x80\xa6'
1371904225018544128,2021-03-17 02:00:00,b'RT @balajis: Only invest in USD what you can afford to lose.'
1369760183203794948,2021-03-11 05:00:00,b'RT @bytemaster7: This week I worked with @greymass to create https://t.co/YM152mmQnK which is the start of portal dedicated to all things E\xe2\x80\xa6'
1369737018922704901,2021-03-11 04:00:00,b'@CryptologyAG @block_one_ Amazing team. Happy to have your strategic support!'
1369338870169473026,2021-03-10 01:00:00,b'RT @block_one_: Why does the cloud need #blockchain? Bart shares his perspective here. https://t.co/sefR5ihGeq'
1369118773198880773,2021-03-09 11:00:00,"b'RT @BitcoinMagazine: Norwegian Billionaire\'s Shareholder Letter Is The Year\xe2\x80\x99s Most Bullish Bitcoin Article.\n\n""Not having a position in bitc\xe2\x80\xa6'"
1369117140264042498,2021-03-09 11:00:00,"b""RT @CoinDCX: With news on India exploring experiments in Crypto, our Co-founder @smtgpt believes 'Crypto as an asset has huge potential and\xe2\x80\xa6"""
1369117048236834816,2021-03-09 11:00:00,b'RT @EOSauthority: Reminder: The #EOS resource model transition to the new PowerUp model is about 20% done. Track stats here https://t.co/gr\xe2\x80\xa6'
1364912420716744706,2021-02-25 20:00:00,b'RT @Patrick_Lowry_: Silicon Valley icon @peterthiel is bullish on #Bitcoin \n\n\xe2\x80\x9cIt\xe2\x80\x99s so big and so stupid that professional money managers ar\xe2\x80\xa6'
1364430684669042690,2021-02-24 12:00:00,"b'RT @block_one_: Congratulations #EOS. Consensus has been reached and the new PowerUp model is live, improving resource allocation. Let\xe2\x80\x99s co\xe2\x80\xa6'"
1364205042031595521,2021-02-23 21:00:00,b'@BloombergTV @emilychangtv Bill is looking for some highly efficient #ProFi #EOS'
1363940130147495938,2021-02-23 04:00:00,"b'RT @block_one_: We\xe2\x80\x99ve had over 12,000 enrollments for our #EOSIO training courses. Learn about #smartcontracts, app development on EOSIO, a\xe2\x80\xa6'"
1363926279418970128,2021-02-23 03:00:00,"b""RT @C_Angermayer: Our vision when @novogratz &amp; I started @CryptologyAG was to become #Europe's largest #blockchain + #crypto investor. We d\xe2\x80\xa6"""
1362980929170456577,2021-02-20 12:00:00,b'I\xe2\x80\x99m prepared to go forward with it. #BTC #EOS #Bullish https://t.co/v5DEf3BRj4'
1362586406208552961,2021-02-19 10:00:00,"b'RT @Salafel: Yes, Voice Tokens will run on EOS mainnet.'"
1359954543174250496,2021-02-12 04:00:00,b'@DeItaone I guess they don\xe2\x80\x99t care about keeping their purchasing power safe.'
1359508445657972736,2021-02-10 22:00:00,"b'@APompliano By his logic, Twitter doesn\xe2\x80\x99t have a treasury. Only a bank account.'"
1359370309045022721,2021-02-10 13:00:00,b'@dogemonaut These lines pre empt the inevitable'
1359350049638125569,2021-02-10 12:00:00,b'@YC_onEOS @eosfly2thesky2 @dogemonaut https://t.co/D8j6Hnn3Cy'
