id,created_at,text
1370736320696496131,2021-03-13 22:00:00,b'Sad that being pro-progress is somehow seen as anti-progressive. https://t.co/c2mxSIZdi5'
1370464459488169987,2021-03-13 04:00:00,"b'Another reason I\xe2\x80\x99m grateful for your support of @USOCC\xe2\x80\x99s Project REACh, which aims to bring 45 million people witho\xe2\x80\xa6 https://t.co/TsNNHwelm9'"
1370432411062927368,2021-03-13 02:00:00,"b'@BryanKHubbard @vtg2 Sure, just like email recreated letters - but without the stamps, envelopes, paper, single rec\xe2\x80\xa6 https://t.co/CKIdB0ebAC'"
1370109879675985927,2021-03-12 05:00:00,"b'RT @hannahdlang: More fintechs are seeking bank charters, but their approaches to doing so vary, from buying up banks to applying with the\xe2\x80\xa6'"
1367255828349087745,2021-03-04 07:00:00,"b'RT @RonwHammond: While @BrianBrooksOCC may no longer be at the OCC, DC has a new pro-innovation regulator with @kylehauptman at the NCUA! T\xe2\x80\xa6'"
1367162949551362050,2021-03-04 01:00:00,"b""RT @BryanKHubbard: ICYMI -- The @USOCC's Senior Deputy Comptroller for Bank Supervision Policy spoke at the Urban Institute recently on Fin\xe2\x80\xa6"""
1366179284310761475,2021-03-01 08:00:00,"b""RT @KapsHouse: I'm discussing \xe2\x80\x9cThe Policymakers: A Chat with Former U.S. Agency Leaders\xe2\x80\x9d with @BrianBrooksOCC, @rajdate, and @davidhstevens\xe2\x80\xa6"""
1364681621786529795,2021-02-25 05:00:00,b'RT @SenLummis: #BREAKING Fedwire and the other Federal Reserve payment rails are offline. Banks are reliant upon these networks to do busin\xe2\x80\xa6'
1364671706934235140,2021-02-25 04:00:00,b'RT @Aarondklein: Great questions by @SenChrisVan @SenThomTillis about the importance of realtime payments to @federalreserve Chair Powell.\xe2\x80\xa6'
1364659166783172611,2021-02-25 04:00:00,b'Further evidence that the US needs to think more seriously about a decentralized payments system.  #CBDCs versus\xe2\x80\xa6 https://t.co/SZbo2zqs0J'
1362795091224526858,2021-02-20 00:00:00,"b'RT @Securrency: Join @Securrency\xe2\x80\x99s CSO, Patrick Campos, this Tuesday 23 Feb, as he moderates an exciting panel discussion on the \xe2\x80\x98Mainstrea\xe2\x80\xa6'"
1362782683986726912,2021-02-19 23:00:00,b'Alert that a person using the handle BrianBrooks0CC (zero-CC rather than oh-CC) is impersonating my account and con\xe2\x80\xa6 https://t.co/4dlzvDbHl6'
1362446070786134016,2021-02-19 01:00:00,b'RT @FEhrsam: Crypto poses the question: what does the market for money itself look like?'
1359963753903751170,2021-02-12 05:00:00,b'RT @BryanKHubbard: This discussion with Anchorage Digital Bank co-founder on bitcoin going mainstream https://t.co/QpxBhlETET \n\nThe @USOCC\xe2\x80\xa6'
1359871825744912384,2021-02-11 22:00:00,"b""RT @srussolillo: Doesn't get more institutional than this...\n\nBank of New York Mellon, America's oldest bank, plans to eventually treat #Bi\xe2\x80\xa6"""
1359284555769925632,2021-02-10 08:00:00,"b'@sadbryce Bryce!  One of my favorites.  Our secret weapon.  Best of luck, my friend.'"
1359168341361983494,2021-02-10 00:00:00,"b'RT @BryanKHubbard: Protego Targets Crypto-Banking with @USOCC Approval - Banking Exchange \n\n""Knowledgeable and forward-thinking\xe2\x80\x99 regulators\xe2\x80\xa6'"
1359145991824433153,2021-02-09 22:00:00,"b""Lucky #13!  Honored to be on the definitive list of the world's most important people in the Blockchain and crypto\xe2\x80\xa6 https://t.co/X7AruZTvgz"""
1359133585949736960,2021-02-09 22:00:00,b'Excited to keynote the Fifth Annual Fintech Summit at @USCMarshall School of Business.  https://t.co/ojPfjXcBe4'
1358822885427728391,2021-02-09 01:00:00,"b'RT @mikejcasey: If you missed today\'s @CoinDesk TV launch, with ""First Mover,"" our opening show, check it here. Great work from @christinen\xe2\x80\xa6'"
1358776386471796738,2021-02-08 22:00:00,"b'RT @CoinDesk: Introducing an all-new CoinDesk TV, our hybrid live studio inviting @HesterPeirce, @brianbrooksocc, @giancarlomkts and many m\xe2\x80\xa6'"
1357732128981663746,2021-02-06 01:00:00,b'RT @BryanKHubbard: The @USOCC Conditionally Approves Conversion of Protego Trust Bank | OCC https://t.co/GbFSkf1HzI via @usocc'
1357722540513390592,2021-02-06 00:00:00,b'RT @BryanKHubbard: Crypto Firm Metal Pay Applies for a US Federal Banking Charter from @USOCC https://t.co/CquSg7Lnua'
1357722540513329154,2021-02-06 00:00:00,b'RT @BryanKHubbard: Vast National Bank Completes Seamless Digital Currency Transaction https://t.co/wj4YHiaBqQ'
1357309268286971905,2021-02-04 21:00:00,b'@PerianneDC @NataliePropy 1. Radically intermittent fasting.\n2. Latin American development finance.'
1356642988059856897,2021-02-03 01:00:00,b'RT @WeeklyCrypto: Meet The 100 Most Influential In Crypto https://t.co/WD4TwEECXj \n60. @litecoin / Creator @SatoshiLit\n59. @USOCC / Comptro\xe2\x80\xa6'
1354564010335735816,2021-01-28 07:00:00,b'@haydentiff @jungleincxrp @ConnieS93097511 @Emma4Change @RashidaTlaib @rohangrey Is Banking 101 in order?  Banks bo\xe2\x80\xa6 https://t.co/GLl4M2tLCf'
1351548093058072576,2021-01-19 23:00:00,"b'Be well everyone and don\xe2\x80\x99t be strangers.  After a short sabbatical, I will be back in touch!'"
1351548092349259776,2021-01-19 23:00:00,b'Nondepository banks?  Scary to some today but necessary tomorrow if we want the economy to grow and consumers to be protected.'
1351548091661369346,2021-01-19 23:00:00,b'Stablecoins?  Scary to some today but necessary tomorrow if we want the dollar to remain a competitive global medium of exchange.'
1351548090952531975,2021-01-19 23:00:00,b'DeFi?  Scary to some today but necessary tomorrow as some banks start telling you what you can and can\xe2\x80\x99t do with your own money.'
