id,created_at,text
1340165534042660864,2020-12-19 13:00:00,"b'@2ndharvest is now serving an average of 500,000 people in Silicon Valley every month, twice the amount pre-pandemi\xe2\x80\xa6 https://t.co/891U7atvBL'"
1334535356109099010,2020-12-04 00:00:00,"b'We\xe2\x80\x99re grateful and proud to work alongside @LeverforChange, ICONIQ Impact and the Sea Grape Foundation to support o\xe2\x80\xa6 https://t.co/jowxrL37Jp'"
1334535355068940288,2020-12-04 00:00:00,"b'When helping select these 5 finalists out of 71 incredible applicants, Lyna and I were moved by their bold ideas, t\xe2\x80\xa6 https://t.co/Sw7HYsMhwL'"
1329568352486866944,2020-11-20 08:00:00,"b'RT @Ripple: (2/2) AND don\xe2\x80\x99t miss the opportunity to hear from @chrislarsensf, @Thorn, @chainalysis and @AIRinnovate on ""Combating Crypto in\xe2\x80\xa6'"
1328832247995060230,2020-11-18 07:00:00,"b'Loanpal is helping consumers convert to using sustainable, renewable resources in their homes -- proud to support! https://t.co/BTOQtC6kvF'"
1328404349748342787,2020-11-17 02:00:00,"b'Thanks @JoAnnBarefoot for inviting me, @Chainalysis and @Thorn for a SXSW panel about how we can eradicate using cr\xe2\x80\xa6 https://t.co/RYmHnaVGlY'"
1318958033603448832,2020-10-22 00:00:00,b'Proud to support @GivePowerFdn - an incredible team doing critical work to provide access to clean water for develo\xe2\x80\xa6 https://t.co/fgiXcuHS5t'
1308459310574264325,2020-09-23 01:00:00,"b'As some of you may have noticed, I moved an $XRP wallet to NYDIG. I\xe2\x80\x99ve known the founders for a while, and am impre\xe2\x80\xa6 https://t.co/v65wIDJBoB'"
1300932100044935168,2020-09-02 06:00:00,"b'RT @HumaneTech_: Check out the trailer for The Social Dilemma, an @ExposureLabs film about how social media monetizes our attention while h\xe2\x80\xa6'"
1296883073703743488,2020-08-22 02:00:00,b'China: has near ubiquitous use of digital payments \xe2\x9c\x94; piloting state-controlled digital Yuan \xe2\x9c\x94; has the largest con\xe2\x80\xa6 https://t.co/hUk8kDflOH'
1287962955561046017,2020-07-28 11:00:00,b'The privacy ordinance restricting SFPD camera access has rare exceptions for states of emergency. Even in these ext\xe2\x80\xa6 https://t.co/EkJTN2TeNG'
1287962954315390979,2020-07-28 11:00:00,b'Views here are my own - this is a good initial analysis by @EFF. It\xe2\x80\x99s important work and critical to have oversight\xe2\x80\xa6 https://t.co/PFtXgq2T2Q'
1277763675214888962,2020-06-30 08:00:00,"b'PSA: help out your local food bank! In the Bay Area, @2ndharvest is providing food to over 500,000 people each mont\xe2\x80\xa6 https://t.co/3vsdCaESuE'"
1275900646546268161,2020-06-25 04:00:00,"b'Blockchain is poised to play an integral role in our next-gen global financial system. Unfortunately, the U.S. is c\xe2\x80\xa6 https://t.co/kAkkQIEaD0'"
1257766529921191936,2020-05-06 03:00:00,b'Great chatting with my friend @Ripple CTO @joelkatz on the new #BlockStars #podcast. https://t.co/3haDh3sypI'
1255541315707662336,2020-04-30 00:00:00,"b"".@nsbarsky, @MarshallProj and @nytopinion highlight pretrial detainment/COVID crisis. We're providing $1M to\xe2\x80\xa6 https://t.co/jYOpfcFg0D"""
1253382682697854976,2020-04-24 01:00:00,b'Thank you to the heroes at @tippingpoint + its grantees serving those in need to alleviate the burden of poverty du\xe2\x80\xa6 https://t.co/GrkQ74SwRq'
1250879742909091840,2020-04-17 03:00:00,"b'In times of crisis and calm, we can all step up to help our communities. @Ripple and I are donating $5M to Bay Area\xe2\x80\xa6 https://t.co/RMnFQwOdEr'"
1245798986214035462,2020-04-03 03:00:00,b'Thank you to everyone on the frontlines keeping us safe - am truly grateful to report that I\xe2\x80\x99ve made a full recover\xe2\x80\xa6 https://t.co/rijsXtG5O5'
1237421412974882816,2020-03-11 00:00:00,b'.@DougGalen and I started Rippleworks 5 years ago to support practitioners tackling some of the toughest challenges\xe2\x80\xa6 https://t.co/VpJ2WPdk0Y'
1232416900967096320,2020-02-26 05:00:00,"b'Leather\xe2\x80\x99s Carbon Footprint Is Immense, But This Plant-Based Alternative Could Be the Way Forward. Proud to be an ea\xe2\x80\xa6 https://t.co/JrlFqfHtsT'"
1228369688276504576,2020-02-15 01:00:00,b'Proud to back Iiwwa to help entrepreneurs and small businesses in Jordan and Egypt\nhttps://t.co/9DcK1SEgxu'
1222556906327199745,2020-01-30 00:00:00,b'Nearly 30M people globally are now classified as refugees. Lyna and I are proud to partner with ICONIQ Impact and\xe2\x80\xa6 https://t.co/umU9liO84Z'
1206638969959501827,2019-12-17 02:00:00,"b'Proud to be working with Kitao-san of SBI, a true innovator and leader driving the future of finance\nhttps://t.co/WUnIlGVhMd'"
1197666175712292864,2019-11-22 08:00:00,"b'Our 2019 fiscal year (which runs April 2018-April 2019) reflects this change in our resources and operations, and F\xe2\x80\xa6 https://t.co/ekyr2j6ziK'"
1197666175049588736,2019-11-22 08:00:00,"b'After XRP\xe2\x80\x99s growth in late 2017, RW reclassified as a non-operating foundation which has allowed us to distribute $\xe2\x80\xa6 https://t.co/mLJlMafdZV'"
1197666173975818242,2019-11-22 08:00:00,b'Messari references Rippleworks\xe2\x80\x99 990 for fiscal year ending April 2018. Doug Galen and I first set up Rippleworks to\xe2\x80\xa6 https://t.co/RMTQ947t3O'
1197666173275389952,2019-11-22 08:00:00,b'There have been several inaccuracies in Messari\xe2\x80\x99s recent report - let\xe2\x80\x99s clear those up. @RippleWorksOrg has funded\xe2\x80\xa6 https://t.co/F2vQS3zEJd'
1190432205987647488,2019-11-02 08:00:00,b'RT @bgarlinghouse: Thinking of those across California affected by the wildfires. We @Ripple are supporting the community impacted by the #\xe2\x80\xa6'
1184969221215666176,2019-10-18 06:00:00,"b'RT @JoelKatz: ""If you go no one may follow. That path is for your steps alone."" RIP Robert Hunter, an inspiration to all. Without him, Ripp\xe2\x80\xa6'"
1184209547998547968,2019-10-16 04:00:00,"b'Proud to support @thorn, a nonprofit building tech to stop the spread of child sexual abuse material. You can watch\xe2\x80\xa6 https://t.co/oc6x6FgKWO'"
1155861104016281601,2019-07-29 22:00:00,b'This industry is at an inflection point. We @Ripple ask govt leaders here in the U.S. and around the world to not p\xe2\x80\xa6 https://t.co/gf7QVHanGO'
1121571640868048897,2019-04-26 07:00:00,"b""It's my pleasure to welcome @yoshitaka_kitao, President and CEO of @sbigroup, to the @Ripple Board of Directors. Wi\xe2\x80\xa6 https://t.co/Wsq7h1zEmE"""
1118335930685775872,2019-04-17 09:00:00,"b'Lyna and I are inspired by @TheAudaciousPrj grantees. Projects like @thorn, @PolicingEquity, @UWproteindesign,\xe2\x80\xa6 https://t.co/KDnNJfDZ2t'"
1051929890310696960,2018-10-16 03:00:00,"b""Why I'm so bullish on French innovation hubs: https://t.co/A2WCG1azP0 (Stellina)."""
