id,created_at,text
1372745644570460161,2021-03-19 10:00:00,b'Have you checked out our new feature? We now have a ICO calendar. Click below to see! \n\nWhat #ICO are you currently\xe2\x80\xa6 https://t.co/wGN2xXJp8M'
1372721996254040065,2021-03-19 09:00:00,"b'The @Charmin pieces are raising money for charity, and bids have already exceeded $2,000.\n\n#Crypto #Cryptocurrency\xe2\x80\xa6 https://t.co/PdMhEhY34n'"
1372689315621376002,2021-03-19 06:00:00,b'Have you used our portfolio update? You can now see your profits and losses in the cryptocurrency market on our pla\xe2\x80\xa6 https://t.co/3xvFo0QdZs'
1372655665819291651,2021-03-19 04:00:00,"b'.@Chiliz, one of the biggest names in the blockchain space for virtual sports and gaming crowdfunding, has increase\xe2\x80\xa6 https://t.co/qkPHhPu3ax'"
1372624365083328516,2021-03-19 02:00:00,"b'Surprise, surprise... \xf0\x9f\xa4\xa3\n\nWhat price do you think Bitcoin will be by the end of the week? \n\nKeep up to date with the\xe2\x80\xa6 https://t.co/23souHzdnk'"
1372584200184954882,2021-03-18 23:00:00,"b'As Bitcoin edges back towards $60,000, @MorganStanley announces it will launch three new funds that allow investors\xe2\x80\xa6 https://t.co/Rw4tn73CmH'"
1372559997415079937,2021-03-18 22:00:00,b'Interested in @Binance Smart Chain projects? Now you can see all the #BSC projects ranked! Click below to view!\n\nWh\xe2\x80\xa6 https://t.co/QNMmI4BCPE'
1372527840722321409,2021-03-18 20:00:00,"b"".@intotheblock takes a look at Bitcoin's recent price movement, and the growing NFT mania. Click below to read more\xe2\x80\xa6 https://t.co/X2HckGl8wh"""
1372500090133315584,2021-03-18 18:00:00,b'Below is an image of the market from exactly two year ago. \n\nWhat do you think the market will look like in 2023? W\xe2\x80\xa6 https://t.co/cijmsVpMOK'
1372480949422800898,2021-03-18 17:00:00,b'You can now customize what you see on the CoinMarketCap homepage. \n\nWhat will you pick? Make CMC your own. \n\n\xf0\x9f\x91\x89\xe2\x80\xa6 https://t.co/FW1Yj76d47'
1372457788044161025,2021-03-18 15:00:00,b'@brickchaindefi @coingecko Keep up to date with the $BRICK markets on the link below. \n\nhttps://t.co/BRpmiOC3L0'
1372450207468826624,2021-03-18 15:00:00,"b'The difference between hot and cold wallets, and the amount of security that they offer for your crypto assets, dif\xe2\x80\xa6 https://t.co/Cgvc2jJ24S'"
1372418741514997761,2021-03-18 12:00:00,b'Have you taken part in our latest Learn &amp; Earn Campaign?  \n\nEducate yourself about the project and earn $CKB at the\xe2\x80\xa6 https://t.co/jErQvs0qiA'
1372390806045212678,2021-03-18 11:00:00,"b'Would you be interested in earning crypto as you drive? Well, that might soon be possible. What do you think about\xe2\x80\xa6 https://t.co/KRGSCEHYHY'"
1372354821186060295,2021-03-18 08:00:00,b'Have you checked out our new feature? We now have a ICO calendar. Click below to see! \n\nWhat #ICO are you currently\xe2\x80\xa6 https://t.co/ijxseBTBbW'
1372316822633119750,2021-03-18 06:00:00,"b""Despite receiving a $1.12 million bid, @elonmusk said: 'Actually, doesn\xe2\x80\x99t feel quite right selling this. Will pass.\xe2\x80\xa6 https://t.co/p3IucG1pxs"""
1372282854282002433,2021-03-18 03:00:00,b'Are you a big #NFT lover? Well now you can keep up to date and compare NFT token projects!\n\nClick below to view our\xe2\x80\xa6 https://t.co/5yfPqpdXOi'
1372254100809777160,2021-03-18 02:00:00,b'@BosonProtocol Welcome to the family! https://t.co/kj1JuRPo1L'
1372252660171206657,2021-03-18 01:00:00,b'Such a move would be a substantial milestone for adoption. What do you think about the recent statement from @Visa?\xe2\x80\xa6 https://t.co/64R2Uak19V'
1372223318129016839,2021-03-17 23:00:00,b'@UMEfinance @UswapDEX @justinsuntron @Tronfoundation Can keep up with the $UME markets on the link below. \n\nhttps://t.co/Asd52c6cBC'
1372209044203704320,2021-03-17 23:00:00,b'Have you used our portfolio update? You can now see your profits and losses in the cryptocurrency market on our pla\xe2\x80\xa6 https://t.co/xL6fkpQjCV'
1372187562685648896,2021-03-17 21:00:00,"b'What altcoin are you currently most excited about and why?\n\nIf you need some ideas, visit our website! -\xe2\x80\xa6 https://t.co/hQmJhAXx5T'"
1372171221211754501,2021-03-17 20:00:00,"b'In our recent blog, we take a deep dive into one of the newer projects in the Polkadot ecosystem, @PolkaFoundry.\xe2\x80\xa6 https://t.co/3OV1FBzHwm'"
1372138105256484864,2021-03-17 18:00:00,b'Happy #StPatricksDay to everyone!\n\nHave a great day and we hope you see green candles on your trades!\xe2\x80\xa6 https://t.co/ky5bFTtD3r'
1372135088910184456,2021-03-17 18:00:00,b'@Plasma_Pay Can keep up to date with the $PPAY markets on the link below. \n\nhttps://t.co/PVc57S1KlP'
1372122035271389204,2021-03-17 17:00:00,"b""With Bitcoin on everyone's tongue, have you visited our #Bitcoin Analytics Page? \n\nLearn more about Bitcoin with da\xe2\x80\xa6 https://t.co/gxvnnTmyeN"""
1372080281532895234,2021-03-17 14:00:00,b'Going public appears to be one of the hottest trends of 2021.\n\n#Crypto #Cryptocurrency #Bitcoin \n\nhttps://t.co/ZVA7sHV3FV'
1372042812879933443,2021-03-17 12:00:00,"b""Have you created your crypto watchlist and if so what cryptocurrencies are in it? \n\nIf you haven't you can get star\xe2\x80\xa6 https://t.co/WxEsduvwdG"""
1372004781653438469,2021-03-17 09:00:00,b'What do you think about analysis? \n\n#Crypto #Cryptocurrency #Bitcoin $BTC #BTC \n\nhttps://t.co/k1PnxSUTRy'
1371970798903234567,2021-03-17 07:00:00,b'Have you checked out our new feature? We now have a ICO calendar. Click below to see! \n\nWhat #ICO are you currently\xe2\x80\xa6 https://t.co/1ZA6bFBxbk'
1371936314648584194,2021-03-17 04:00:00,b'.@elonmusk has waded into the NFT craze by announcing he\xe2\x80\x99s selling a song about non-fungible tokens\xe2\x80\xa6 as an NFT. Wha\xe2\x80\xa6 https://t.co/IUP3KJ5Uaa'
1371918063088586764,2021-03-17 03:00:00,b'3) How about Turkish? Click below to join!\n\nhttps://t.co/hrzYtmKHyP https://t.co/YtTltsiDSW'
1371917341274017792,2021-03-17 03:00:00,b'2) Want to chat in Spanish? Well now you can with our Spanish community! \n\nhttps://t.co/RtJY4dUmKR https://t.co/qlWAuFBiwo'
1371916953779077123,2021-03-17 03:00:00,b'1) Like to use Telegram? Why not join our community to chat about crypto? \n\nhttps://t.co/XDdwc67DwM\n\n#Crypto\xe2\x80\xa6 https://t.co/nIjnqJFM8e'
1371890029371478020,2021-03-17 01:00:00,b'Have you taken part in our latest Learn &amp; Earn Campaign?  \n\nEducate yourself about the project and earn $CKB at the\xe2\x80\xa6 https://t.co/8YczuM5yMt'
1371861363568574470,2021-03-17 00:00:00,"b'In our recent blog post, @SushiSwap gives a detailed walkthrough over how to use their multiple DeFi offerings.\xe2\x80\xa6 https://t.co/DjbmPUPOdB'"
1371836069285617667,2021-03-16 22:00:00,b'@doctorklever @tradingview @klever_io @mishalederman @dio_ianakiara @KleverBurns @binance @cz_binance\xe2\x80\xa6 https://t.co/wGXuVA4V1M'
1371835396364075014,2021-03-16 22:00:00,b'@Pathfinder Keep up to date with the $RVN markets on the link below.\n\nhttps://t.co/d27Uw8YA7M'
1371831630235590670,2021-03-16 22:00:00,b'Crypto Word of the Day\n\n\xe2\x9a\xa1 API \xe2\x9a\xa1\n\nTo find more definitions in our glossary click here - https://t.co/QCFX3JhQ4G\xe2\x80\xa6 https://t.co/g6kQnTn8dY'
1371807724464439298,2021-03-16 20:00:00,"b'\xe2\x9d\x93 Question time \xe2\x9d\x93\n\nYou have $4,000 USD to spend and you have to purchase four different #cryptocurrencies with the\xe2\x80\xa6 https://t.co/uImpHj1sL1'"
1371794377870344194,2021-03-16 19:00:00,"b'In our latest blog post, @flipsidecrypto shines a spotlight on @Polkadot \xe2\x80\x94 one of 2021\xe2\x80\x99s most exciting crypto proje\xe2\x80\xa6 https://t.co/WU7eWoBqMO'"
1371755669414625285,2021-03-16 17:00:00,b'Have you used our portfolio update? You can now see your profits and losses in the cryptocurrency market on our pla\xe2\x80\xa6 https://t.co/XmHfexaVCH'
1371718879475556352,2021-03-16 14:00:00,"b""It's 2021, and it's time to stake \xe2\x80\x94 but what exactly is staking, and how can you stake in the crypto markets?\xe2\x80\xa6 https://t.co/TX1fQejxRb"""
1371695280849096704,2021-03-16 13:00:00,b'You can now customize what you see on the CoinMarketCap homepage. \n\nWhat will you pick? Make CMC your own. \n\n\xf0\x9f\x91\x89\xe2\x80\xa6 https://t.co/gxz7R887o4'
1371665027447537667,2021-03-16 11:00:00,"b'.@elonmusk has a new role at Tesla, a new filing with the SEC shows.\n\n#Crypto #Cryptocurrency #Tesla $TSLA #Bitcoin\xe2\x80\xa6 https://t.co/5AgdzYnvUB'"
1371627779238821889,2021-03-16 08:00:00,"b""With Bitcoin on everyone's tongue, have you visited our #Bitcoin Analytics Page? \n\nLearn more about Bitcoin with da\xe2\x80\xa6 https://t.co/2Jw7kBHQmU"""
1371591050448531459,2021-03-16 06:00:00,b'The nature of the attack means that Cream Finance and PancakeSwap\xe2\x80\x99s internal systems haven\xe2\x80\x99t been compromised.\xe2\x80\xa6 https://t.co/pzDdEEcHw3'
1371588058471088139,2021-03-16 05:00:00,b'@kryll_io Keep up to date with the $KRL markets on the link below. \n\nhttps://t.co/lXFA7A8SHa'
1371562135478751234,2021-03-16 04:00:00,b'@EDDASWAP Keep up to date with the $EDDA markets on the link below. \n\nhttps://t.co/CFjaE4iYdr'
1371557821888729098,2021-03-16 03:00:00,b'Have you checked out our new feature? We now have a ICO calendar. Click below to see! \n\nWhat #ICO are you currently\xe2\x80\xa6 https://t.co/674RGxMMgU'
1371543724476538893,2021-03-16 02:00:00,b'@GoGalaGames Very welcome! You can check out the $GALA markets on the link below. \n\nhttps://t.co/nziAdTGkeE'
1371526512843837443,2021-03-16 01:00:00,b'It\xe2\x80\x99s been a dramatic weekend for Bitcoin to say the least. \n\nWhat are your thoughts? Are you \xf0\x9f\x90\x82 or \xf0\x9f\x90\xbb?\n\n#Crypto\xe2\x80\xa6 https://t.co/GAqhDDLJZ5'
1371498730361384966,2021-03-15 23:00:00,b'@DeepFuckingDefi @davidgokhshtein @LightningDeFi Keep up to date with the $LIGHT markets on the link below.\n\nhttps://t.co/L9x8RgWWsa'
1371494160700694532,2021-03-15 23:00:00,b'Have you taken part in our latest Learn &amp; Earn Campaign?  \n\nEducate yourself about the project and earn $CKB at the\xe2\x80\xa6 https://t.co/0k9Bx8yons'
1371486505710014467,2021-03-15 23:00:00,b'@LightningDeFi Welcome to the family! https://t.co/sIspqJFYGY'
1371483119082160128,2021-03-15 22:00:00,b'Please be aware and careful. Never put your seed phrase or private keys on a website. \n\nFollow @PancakeSwap to stay\xe2\x80\xa6 https://t.co/WvleJq0tkO'
1371479793351417862,2021-03-15 22:00:00,b'@routerprotocol You can keep up to date with the $ROUTE markets on the link below.\n\nhttps://t.co/9lfUpssYeX'
1371463281655881734,2021-03-15 21:00:00,b'We recently listed $ALN. Markets are now live on CoinMarketCap.\n\nClick below to see all the information about\xe2\x80\xa6 https://t.co/y9tosSpEmi'
1371438547744522244,2021-03-15 20:00:00,"b'Our head of SEO muses on the volatility of the very first cryptocurrency, and whether its rapid price changes will\xe2\x80\xa6 https://t.co/sBqgD1MwH2'"
1371437269375148034,2021-03-15 19:00:00,b'@bepronet Keep up to date with the $BEPRO markets on the link below. \n\nhttps://t.co/GQkhAEAfcG'
1371430037560434692,2021-03-15 19:00:00,"b'@DeepFuckingDefi @LightningDeFi @coingecko Hello, If @LightningDeFi have applied to be on our platform, they can gi\xe2\x80\xa6 https://t.co/UU9dvvYjmi'"
1371423660536381444,2021-03-15 19:00:00,b'Currently we are seeing quite a bit red on this Monday. What crypto are you looking to get during the dip?\n\nStay up\xe2\x80\xa6 https://t.co/63DzYgG0Go'
1371406703728689152,2021-03-15 17:00:00,b'@kratos_harmony @harmonyprotocol Keep up to date with the $ONE markets on the link below.\n\nhttps://t.co/VNtbazR8Nn'
1371401440925745153,2021-03-15 17:00:00,b'We recently listed $ALICE. Markets are now live on CoinMarketCap.\n\nClick below to see all the information about\xe2\x80\xa6 https://t.co/5KM1K53Ug0'
1371385604118867969,2021-03-15 16:00:00,"b'\xe2\x9d\x93 Question Time \xe2\x9d\x93\n\nWhat is your favorite crypto exchange and why? If you need some ideas, visit our exchanges page\xe2\x80\xa6 https://t.co/QXgkuhaxQ3'"
1371368803775488001,2021-03-15 15:00:00,"b""Have you created your crypto watchlist and if so what cryptocurrencies are in it? \n\nIf you haven't you can get star\xe2\x80\xa6 https://t.co/0VHLV9LdhF"""
1371356233446391808,2021-03-15 14:00:00,b'@OneSwap Keep up to date with the $ONES markets on the link below.\n\nhttps://t.co/M9yXuUpTS0'
1371355743862018049,2021-03-15 14:00:00,b'@Bitcashpay1 Keep up to date with the $BCP markets on the link below.\n\nhttps://t.co/6WNUG0vxfe'
1371317739705491460,2021-03-15 12:00:00,"b"".@tezos raised $232 million in one of the biggest ICOs of all time \xe2\x80\x94 here's a breakdown of what to expect from Tezo\xe2\x80\xa6 https://t.co/P3Ahy8osza"""
1371283071056633861,2021-03-15 09:00:00,b'You can now customize what you see on the CoinMarketCap homepage. \n\nWhat will you pick? Make CMC your own. \n\n\xf0\x9f\x91\x89\xe2\x80\xa6 https://t.co/LCz2Oo0lCz'
1371242248835371018,2021-03-15 07:00:00,"b"".@Cardano is one of the top ten cryptocurrencies on CoinMarketCap \xe2\x80\x94 what's the deal behind this peer-reviewed crypt\xe2\x80\xa6 https://t.co/GBgdyYZocQ"""
1371204531460177922,2021-03-15 04:00:00,b'Have you checked out our new feature? We now have a ICO calendar. Click below to see! \n\nWhat #ICO are you currently\xe2\x80\xa6 https://t.co/sZUHDwyHmN'
1371169514478526469,2021-03-15 02:00:00,b'The rise in DeFi means that there are constantly new DeFi platforms popping up \xe2\x80\x94 how does the new @PancakeSwap fare\xe2\x80\xa6 https://t.co/s9QhXvJx2S'
1371138052475793412,2021-03-15 00:00:00,b'Have you taken part in our latest Learn &amp; Earn Campaign?  \n\nEducate yourself about the project and earn $CKB at the\xe2\x80\xa6 https://t.co/rOAKwpmurW'
1371124550998618116,2021-03-14 23:00:00,b'What a difference a year makes. Below is an image of the market from exactly one year ago. \n\nWhat do you think the\xe2\x80\xa6 https://t.co/aeRhtaaS1i'
