id,created_at,text
1271116427899146242,2020-06-11 23:00:00,b'The values all of us hold dear are under attack. Today we\xe2\x80\x99re announcing a $530 million commitment to support Black\xe2\x80\xa6 https://t.co/KqDtVKrn8p'
1086243128993030144,2019-01-18 21:00:00,b'PayPal is committing to fund $25 million of interest-free cash advances to help U.S. federal government employees.\xe2\x80\xa6 https://t.co/s4r9WVmcI6'
671761064254504960,2015-12-02 03:00:00,"b'Thanks @USTreasury for hosting #FIF2015. Great to see businesses &amp; gov\xe2\x80\x99t working  together to make financial services affordable, accessible'"
664838506171072512,2015-11-13 00:00:00,b'RT @PayPal: PayPal Officially Welcomes Xoom to PayPal Family!  https://t.co/h21v3rRmlu #paypalit'
651065379805007873,2015-10-05 23:00:00,b'RT @PayPal: PayPal Earns Spot on Interbrand\xe2\x80\x99s Top 100 Global Brands List http://t.co/qPr4OgM39i #PayPalIt'
633980182139768832,2015-08-19 20:00:00,b'RT @PayPal: We welcome the team at @Modest who are joining @PayPal &amp; @Braintree today. Here\xe2\x80\x99s to an exciting future http://t.co/wtdI6FFBJN \xe2\x80\xa6'
628607730828193792,2015-08-05 00:00:00,"b""Welcome John Rainey as PayPal's new CFO http://t.co/xgXvKajDrI #pypl #paypal"""
623560774477332480,2015-07-22 02:00:00,b'Why I believe it\xe2\x80\x99s time for financial democracy http://t.co/7zJiQSprSl #CNBC #PYPL'
623205253488381952,2015-07-21 02:00:00,"b'We\xe2\x80\x99re excited about the future of $PYPL \xe2\x80\x93 rewiring the future of commerce, a $25T market: http://t.co/JGsnS4QW4B'"
623178952929099776,2015-07-21 00:00:00,"b'As @PayPal celebrates a new beginning as #PYPL, our customers continue to be at the center of everything we do: http://t.co/pOrKh8Do1B'"
623158340089171969,2015-07-20 23:00:00,b'A good looking group on a great day for @paypal  #PYPL http://t.co/6kzuZvYzLf'
623145938987687937,2015-07-20 22:00:00,"b""Thank you, @devinwenig! We're excited for our continued partnership and look forward to this new chapter. #PYPL"""
623135093054377984,2015-07-20 21:00:00,"b'Thrilled to be joined by @PayPal leaders, employees &amp; merchants at @Nasdaq as we begin an exciting chapter at #PYPL. http://t.co/NBxQU3QKEu'"
621672237578371072,2015-07-16 20:00:00,"b""RT @PayPal: PayPal's Q2 2015 Results http://t.co/QfLvPXfRzS #PYPL"""
617419633948098560,2015-07-05 03:00:00,"b""RT @PayPal: Wherever you are, however you're spending it, Happy #4thofJuly. http://t.co/BxgrsgBSfj"""
616361546118082560,2015-07-02 05:00:00,b'Excited to share that @PayPal has agreed to acquire @Xoom http://t.co/DJHrqBCib7'
607911488179691520,2015-06-08 21:00:00,"b'RT @venmo: ""Money Isn\xe2\x80\x99t Free, but Moving It Is Now Cheaper"" by @mims for @WSJ featuring Venmo: http://t.co/MmWu9PXZoI'"
601384363759013888,2015-05-21 21:00:00,b'Support Red Nose Day through @PayPal Giving Fund and we\xe2\x80\x99ll add 1% to your contribution  https://t.co/4NM7vyWZLo'
594143069949165568,2015-05-01 21:00:00,b'RT @PayPal: How @Venmo\xe2\x80\x99s Helping Me Avoid Getting Sucker-Punched w/ the Pay Per View Bill for #MayPac: http://t.co/G7pKCcpsYA'
593044369348788224,2015-04-28 20:00:00,b'One Touch\xe2\x84\xa2 Buying is Now Available Across Platform... - https://t.co/ttsUzlK6Kk'
592117539250929665,2015-04-26 07:00:00,b'RT @PayPal: Helping the Victims of the Nepal Earthquake https://t.co/eWv06JcWrm'
591416534678933505,2015-04-24 09:00:00,b'Our First Quarter Results https://t.co/C6fPXpbU5x'
585915390120763392,2015-04-09 04:00:00,"b'RT @pahujaa: Honored to host @PayPal President @dan_schulman, Global Brand &amp; Comms Officer @smedleyus &amp; PayPal leaders in Chennai. http://t\xe2\x80\xa6'"
575301158966665217,2015-03-10 21:00:00,b'RT @PayPal: Reason number a million that shows we care about security: http://t.co/p30ZNOZxfr'
572441467425169408,2015-03-03 01:00:00,b'RT @PayPal: PayPal Agrees to Acquire Paydiant: http://t.co/jFe1q77E9j'
516906928769736704,2014-09-30 18:00:00,"b""Honored to lead the legendary @PayPal during this exciting time! Can't wait to get started. http://t.co/DWdvWtgboc"""
474343514667757568,2014-06-05 07:00:00,b'We hope #Spent &amp; our work to find solutions that help reimagine financial services will inspire you to take action http://t.co/5tjvhnhMlR'
474282592926433280,2014-06-05 03:00:00,b'RT @Marketplace: Why consumers with little to no affiliation with any bank are worth so much money: http://t.co/ytO8r6ktHW by @svaneksmith'
474262062668206080,2014-06-05 02:00:00,b'Today @AmexServe debuts a new documentary #Spent: #LookingForChange to audiences around the world. http://t.co/TfCsKIFWah'
473591853628268546,2014-06-03 05:00:00,b'2 days til the premiere of #Spent #LookingForChange! Tune into http://t.co/5tjvhnhMlR to  watch it with us on June 4th!'
472190556484161536,2014-05-30 09:00:00,b'Check out today\xe2\x80\x99s @GMA story about #Spent #LookingForChange. Can\xe2\x80\x99t wait to premiere it on 6/4. http://t.co/RomJtAweKh'
440653023770312704,2014-03-04 09:00:00,b'@amexserve: Proud to have won the Consumer Champion Best in Category honor @AllPaymentsExpo. Thanks @Paybefore &amp; @CFSInnovation'
243012652715110401,2012-09-04 23:00:00,b'DealBook: Multinationals Stake a Claim in Venture Capital http://t.co/YLCDRmP0 this is only the start of our efforts'
