id,created_at,text
1372585142129098760,2021-03-18 23:00:00,"b""RT @CoinDesk: NEW: @lindsaylohan is partnering with @justinsuntron to release NFTs on Tron, in another sign of the market's current froth.\xe2\x80\xa6"""
1372550996455387143,2021-03-18 21:00:00,b'RT @TicTacTRON: Why im bullish on #TRON?\nLets take a look at some On-Chain data\xf0\x9f\xa7\x90\n\nTransaction Count (March 17)\n\n#TRX : 4.06Mio. \xf0\x9f\x91\x91 \n#EOS\xe2\x80\xa6'
1372550877580386314,2021-03-18 21:00:00,b'RT @tusd_official: Check out the Base APY and Rewards APY for $TUSD @CurveFinance Metapool\xf0\x9f\x99\x8c\n\nVolume looking good as well \xf0\x9f\xa4\xa9\n\nhttps://t.co/hn\xe2\x80\xa6'
1372548134803439618,2021-03-18 21:00:00,"b'\xf0\x9f\x8e\x89Welcome @BTCST2020 to #TRONCenturyMining as the first project participant!\n\n\xe2\x9a\x92\xef\xb8\x8fOnce launched, @BTCST2020 will have\xe2\x80\xa6 https://t.co/dEr0N7ODYb'"
1372499112298307587,2021-03-18 18:00:00,b'\xf0\x9f\x8e\x8aTotal Value Locked(TVL) in #TRON #DeFi Equals $7.3 Billion.\n\n\xf0\x9f\x9a\x80TVL increased by $2.3 Billion which stands for a 46%\xe2\x80\xa6 https://t.co/2ojWsUfXpk'
1372452308018077696,2021-03-18 15:00:00,b'#TRONChievement Mar 8- Mar 14\n\n\xe2\x9c\x85The total value locked(TVL) in #TRON #DeFi equals $6.4B on Mar 8\n\xe2\x9c\x85\xe2\x80\xa6 https://t.co/YsWRYY58MB'
1372426073825185798,2021-03-18 13:00:00,b'RT @6BillionPeople: Thursday 10:30 PM PDT I\xe2\x80\x99m hosting a room on @joinClubhouse #Clubhouse with @justinsuntron @lindsaylohan about cryptocur\xe2\x80\xa6'
1372221032514289671,2021-03-17 23:00:00,"b'RT @tusd_official: $TUSD Gauge Vote on @CurveFinance just \xe2\x88\x9apassed, thanks #CurveDao for your support\xf0\x9f\xa5\xb3\n\nGauge weight vote will start in the\xe2\x80\xa6'"
1372215780775919617,2021-03-17 23:00:00,b'$TUSD APR on @CurveFinance is 11520.17% to 28800.42% @tusd_official #TUSD https://t.co/1Ek1p9OKXL'
1372189898174722051,2021-03-17 21:00:00,b'RT @tusd_official: $TUSD gauge weight vote on @CurveFinance is now open!  Vote for us and get your share of $CRV rewards!\xf0\x9f\xa5\xb3\n\nHow to vote?\xe2\x80\xa6'
1372140482256543750,2021-03-17 18:00:00,b'\xf0\x9f\x8e\x8aTotal Value Locked(TVL) in #TRON #DeFi Equals $7 Billion.\n\n\xf0\x9f\x9a\x80TVL increased by $2 Billion which stands for a 40% inc\xe2\x80\xa6 https://t.co/QQhdP5rTQl'
1372128974801752068,2021-03-17 17:00:00,b'RT @eToro: Watch CEO @YoniAssia explain why this is such a momentous milestone for eToro. https://t.co/1jTzbely0u'
1372118804252139526,2021-03-17 17:00:00,b'RT @defi_sunio: \xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9\xf0\x9f\xa4\xa9Guess who is the first project to join #TRONCenturyMining?\n \nLeave your answers in the comments\xf0\x9f\x91\x87\n \nRetweet and @ 3 frien\xe2\x80\xa6'
1372116388341374980,2021-03-17 16:00:00,b'RT @DeFi_JUST: #TRONCenturyMining has our first project partner!\xf0\x9f\x91\x8f \n\n\xf0\x9f\x98\x9dHint: One of hottest projects on #BinanceSmartChain! https://t.co/G19O\xe2\x80\xa6'
1372108223751233539,2021-03-17 16:00:00,b'#TRX trading on @BITPointJP has started!  https://t.co/49gNIHCNYu #TRON https://t.co/8izS53SNFe'
1372063247986171904,2021-03-17 13:00:00,b'RT @Tronfoundation: \xf0\x9f\x93\xa2 $TRX/ $JPY trading pair is available on @BITPointJP.\n\nMore details\xf0\x9f\x91\x87\nhttps://t.co/zwzwFzCN1F'
1372056996455739395,2021-03-17 12:00:00,b'Nice! https://t.co/7N5Grg93hd'
1372025467016941570,2021-03-17 10:00:00,b'Get one on #TROn and I will buy immediately! \xf0\x9f\x98\x86 https://t.co/VdtE9EndTf'
1371827500288970754,2021-03-16 21:00:00,"b'\xf0\x9f\x99\x8fThank you, Digital Business Lab, for putting me in the first place according to the \xe2\x80\x9cKey #Crypto Influencers in As\xe2\x80\xa6 https://t.co/t5RqbmBqQX'"
1371823177739816968,2021-03-16 21:00:00,"b'RT @eTorox: Weekly #TRON: Blockchain height 28.34M, Century Mining launch &amp; total circ of #TRC20 #USDT 16.7B+\n\n@justinsuntron @TRON_Persian\xe2\x80\xa6'"
1371814114549362688,2021-03-16 20:00:00,"b'RT @augama: Key Crypto Influencers in Asia for 2021 | Digital Business Lab Hong Kong, Singapore honored to be mentioned as Top 10 Asia #cry\xe2\x80\xa6'"
