id,created_at,text
1372694387453526021,2021-03-19 07:00:00,b'Software engineers!\nI can offer you a salary.\nI can also offer you something better.\nI can offer a cause: empowerin\xe2\x80\xa6 https://t.co/Z5KQiFmCBq'
1372683881997074442,2021-03-19 06:00:00,b'@satsie_ SAFETY AND COMPLIANCE\nTHE SPIRIT OF AMERICA\n\xc2\xaf\\_(\xe3\x83\x84)_/\xc2\xaf'
1372681735423586311,2021-03-19 06:00:00,"b""ONE MAN'S FART IS ANOTHER MAN'S ART https://t.co/HsRVTnL1Mv"""
1372677866094272514,2021-03-19 06:00:00,b'RT @udiWertheimer: You: \xe2\x80\x9cEther is immutable and deflationary\xe2\x80\x9d\n\nPotential investor: \xe2\x80\x9cI thought it was inflationary?\xe2\x80\x9d\n\nYou: \xe2\x80\x9cwe changed it\xe2\x80\x9d'
1372673211150778369,2021-03-19 05:00:00,b'IF AN OLD LADY WITH A CANE SLIPS AND FALLS NEXT TO ME AM I ALLOWED TO CATCH HER OR MUST I MAINTAIN SOCIAL DISTANCE\xe2\x80\xa6 https://t.co/sqSm3rwgnG'
1372671388230770699,2021-03-19 05:00:00,b'GIVE YOURSELF A RAISE WITH THIS ONE SIMPLE TRICK https://t.co/X8rv6GHLZb'
1372656350824689664,2021-03-19 04:00:00,b'@NSKinsella My vehicles are owned by corporations for which I am not publicly listed as the owner.'
1372630961196793859,2021-03-19 02:00:00,b'WTF KIND OF BLOCKCHAIN REQUIRES A PASSWORD https://t.co/jVJmQLicjh'
1372614607144116229,2021-03-19 01:00:00,b'@twobitidiot I SEE THE PROBLEM\nYOUR EYES ARE WEAK'
1372612997957484545,2021-03-19 01:00:00,b'@twobitidiot HAVE FUN HODLING CUCKBUCKS'
1372612330383622147,2021-03-19 01:00:00,b'CENTRAL BANKS THINK THEY CAN COMPETE WITH BITCOIN BY ISSUING THEIR OWN DIGITAL CURRENCY https://t.co/0iboh85xf2'
1372607802091405315,2021-03-19 01:00:00,"b'@BitcoinHomie @PeterMcCormack Salvage title rebuild, bought for $20K'"
1372588432363511816,2021-03-19 00:00:00,"b'@PeterMcCormack CONGRATULATIONS, YOU MUST NOW IDENTIFY AS AN AMMOSEXUAL'"
1372580683877642253,2021-03-18 23:00:00,"b""@AliceJaneGray @twobitidiot I received similar rejections when I was looking to adopt a dog a decade ago. I'd have\xe2\x80\xa6 https://t.co/JVf1WHEw9J"""
1372561228397219842,2021-03-18 22:00:00,"b'@tyler @niftygateway WHOA, I THOUGHT MONEY HAS TO BE FUNGIBLE\n\nWHAT WILL THEY THINK OF NEXT'"
1372560502539366401,2021-03-18 22:00:00,b'@PeterMcCormack WHAT IF OWNING ONE ACTUALLY MADE YOUR PEEN BIGGER'
1372535483532709888,2021-03-18 20:00:00,"b""You can have full contact for an hour, breathe heavily in each other's faces, and handle the same ball, but you'd b\xe2\x80\xa6 https://t.co/eNHG7aOe2j"""
1372278427693281285,2021-03-18 03:00:00,b'Vaccine Passports grant entry to the Land of Cucks'
1372247656576266243,2021-03-18 01:00:00,b'CPI IS A LIE'
1372226723379564544,2021-03-18 00:00:00,"b'""Although men flatter themselves with their great actions, they are not so often the result of great design as they\xe2\x80\xa6 https://t.co/2wAPonrGNd'"
1372220642913878023,2021-03-17 23:00:00,"b""@NeerajKA @MessariCrypto @cmsholdings @masonnystrom canines &amp; thin mints don't mix"""
1371992963795058689,2021-03-17 08:00:00,b'@orionwl THIS IS FINE\nTHERE IS FAR MORE THAT IS UNKNOWN TO SCIENCE THAN IS KNOWN TO SCIENCE'
1371988645536759813,2021-03-17 08:00:00,"b'@faith_in_BTC @tyler It certainly could. In fact, email deliverability would be SO MUCH SIMPLER if you could simply\xe2\x80\xa6 https://t.co/rIyLdcCnwU'"
1371984392776790025,2021-03-17 08:00:00,"b""@ryanunderdev @tyler If only ESPs had adopted @adam3us' hashcash proposal..."""
1371983863338139648,2021-03-17 08:00:00,"b'@tyler As someone who spent a decade engineering infrastructure for an email service provider, I can confidently st\xe2\x80\xa6 https://t.co/aVIb9GvC3i'"
1371897166034305025,2021-03-17 02:00:00,b'@fintechjunkie Recovery protocols must be built on top of the base protocol. A variety of such schemes have been de\xe2\x80\xa6 https://t.co/Ph6vGwpvmS'
1371886102332768259,2021-03-17 01:00:00,"b""@eurethrum That's what I thought might have happened, but the date printed on the bill is just a couple weeks ago."""
1371884311457234945,2021-03-17 01:00:00,b'Received a toll bill from a state I drove through 8 months ago. Government dysfunction at all time highs.'
1371882307070664706,2021-03-17 01:00:00,"b'@hasufl Seems to me that it does scale with marketcap, just not perfectly linearly.'"
1371878215728381955,2021-03-17 01:00:00,b'AFTER A DECADE OF SALTY SKEPTICS ASSERTING BITCOINERS WOULD LOSE EVERYTHING ONCE &lt;CATASTROPHIC FUD&gt; OCCURRED\n\nTURNA\xe2\x80\xa6 https://t.co/F5WroAfKM5'
1371868303224889348,2021-03-17 00:00:00,"b""@PabloPeniche I update my web site almost daily, whenever I find a good new resource! If I like it then it's on there :-)"""
