id,created_at,text
1372718270982189057,2021-03-19 08:00:00,"b""RT @loopuleasa: Here is a distillation of @naval's first experiment on clubhouse where he posed a topic (in this case business) and pulled\xe2\x80\xa6"""
1372658686779289605,2021-03-19 04:00:00,b'@zeroXbrian Not for sale.'
1372636244014813186,2021-03-19 03:00:00,b'Nullius in Verba https://t.co/3OxIR4lGwp https://t.co/rjfmUeNpm7'
1372589640822104065,2021-03-19 00:00:00,"b'@aniketium I\xe2\x80\x99d subtract, the last sentence is enough.'"
1372060750437490689,2021-03-17 13:00:00,b'@TikoyKa Emerson\xe2\x80\x99s Brahma.'
1371933575977725952,2021-03-17 04:00:00,b'The Beginning of Infinity https://t.co/8LSi8M6BNi https://t.co/C8VZTnh74t'
1371517282304729088,2021-03-16 01:00:00,"b'@diwakergupta All ad revenues go to the guest, not the host or producers (exact opposite of all other podcasts): https://t.co/c6CLQa8G58'"
1371328774269067264,2021-03-15 12:00:00,b'@kalifornisk Nope.'
1371191556762337281,2021-03-15 03:00:00,b'RT @naval: Ten simple truths:'
1371159293295091713,2021-03-15 01:00:00,b'@tyesonc https://t.co/6YE1cBaTTc'
1370481430246027264,2021-03-13 05:00:00,b'RT @kaichoyce: https://t.co/0VTbziXXJK'
1370255286678614023,2021-03-12 14:00:00,b'@MightyKnow https://t.co/SMPVAp8ySl'
1370188678232862722,2021-03-12 10:00:00,b'@5harath @jack Nobody who understands what I\xe2\x80\x99m saying would actually buy it.'
1370188389916372993,2021-03-12 10:00:00,b'@JeonaMaurh @SamHarrisOrg @EricRWeinstein @Kasparov63 @AndrewYang The tyranny of low expectations.'
1370047857378484225,2021-03-12 00:00:00,b'RT @nivi: New on @naval\xe2\x80\x99s YouTube:\n\n- Happiness collection https://t.co/Lth9EA1o3S\n\n- Previously unpublished Kapil Gupta interview https://\xe2\x80\xa6'
1369593007708672005,2021-03-10 18:00:00,b'@subtlyperfect @TwitterSpaces @leherapp Understood. Also Clubhouse will open up. I don\xe2\x80\x99t even have access to Spaces yet.'
1369592678665482242,2021-03-10 18:00:00,"b""@paraschopra @dasoumendu If you'll distribute them, I\xe2\x80\x99ll buy them."""
1369590844106358785,2021-03-10 18:00:00,"b""@subtlyperfect @TwitterSpaces If it's substantially better I may try it out but, all other things equal, I'd rather\xe2\x80\xa6 https://t.co/WpzTp6yFkW"""
1369583950742482948,2021-03-10 18:00:00,b'@tudor_prodan @Yazid @usehonk and @rainbowdotme'
1369583051399827456,2021-03-10 18:00:00,b'@arjunkocher Great! Let me know.'
1369582287256317952,2021-03-10 18:00:00,"b""@ginger_io Thank you. Hopefully someone has the whole thing. If not I'll circle back on using this. Appreciate it."""
1369579986567393282,2021-03-10 17:00:00,"b'RT @thnkslprpt: @tferriss, @VitalikButerin and @naval recently teamed up for a discussion on all things crypto.\n\nGiven that these are 3 of\xe2\x80\xa6'"
1369579301608189953,2021-03-10 17:00:00,b'RT @Yazid: .@naval on how to figure out what to do / what to build / what to work on:\n\nOur parents used to say \xe2\x80\x9cDo what\xe2\x80\x99s practical.\xe2\x80\x9d\nBooks\xe2\x80\xa6'
1369315712531976192,2021-03-10 00:00:00,"b'RT @tferriss: NEW podcast episode is up! \n\n""Vitalik Buterin (@VitalikButerin), Creator of Ethereum, on Understanding Ethereum, ETH vs. BTC,\xe2\x80\xa6'"
1369225182561234945,2021-03-09 18:00:00,b'Tune out society and its endless and noisy demands.'
1368962090392686596,2021-03-09 00:00:00,b'@CicmilJovan Worked for me. \xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbb\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
1367935564842815488,2021-03-06 05:00:00,"b'RT @jezzejayz: Are you ready for AskNaval on @joinClubhouse?! If you have a question you are dying to ask @Naval, now is your chance. Drop\xe2\x80\xa6'"
1367917003378356225,2021-03-06 03:00:00,b'Science Is the Engine That Pulls Humanity Forward https://t.co/VjklRvVY6l https://t.co/ewX0ctAP7I'
1367873368897114116,2021-03-06 00:00:00,b'@GetPaidMore @getpaidwrite @OneSupermann https://t.co/HUnAX9Nlue'
1367760099964375041,2021-03-05 17:00:00,b'@FitFounder Just wait a day. https://t.co/HzmFElzdWz'
1367277920146759680,2021-03-04 09:00:00,b'@LearnEarnT_chMe Daily meditation.'
1367050295822323712,2021-03-03 18:00:00,b'@SankethYS @DavidSacks https://t.co/ssc53xFWpr'
1366623295135641600,2021-03-02 14:00:00,b'RT @sabakarimm: Here is the complete recording of @naval from Feb 28 2021. Thanks @nidhi_t_ for supplying the second part. \n\nhttps://t.co/6\xe2\x80\xa6'
1366615775818092545,2021-03-02 13:00:00,"b""RT @oldmanrahul: A completely clickable transcript of @naval and @nivi's How to Get Rich (without getting lucky) podcast.\n\nCreated this to\xe2\x80\xa6"""
