id,created_at,text
1370506216519127053,2021-03-13 07:00:00,"b""congrats @Delphi_Digital! if y'all ever need a 4th wheel, i'm there! \xf0\x9f\x99\x8b https://t.co/6L8mAgAXee"""
1370107779214667778,2021-03-12 04:00:00,b'@joewaltman oh lol read this wrong!'
1370104388493119490,2021-03-12 04:00:00,b'@joewaltman free entrance for holder + 3 friends to any Disclosure show anywhere in the world!'
1369864836155326469,2021-03-11 12:00:00,b'@JLHeartsCrypto Disclosure\xe2\x80\x99s awesome BTW!'
1369855064790204416,2021-03-11 12:00:00,"b'for me, this is one of those, \xe2\x80\x9ci don\xe2\x80\x99t understand what the future looks like but i know this is really important\xe2\x80\x9d m\xe2\x80\xa6 https://t.co/Yzx0mEbxgp'"
1365445453874155529,2021-02-27 08:00:00,b'@wisercharlie one of my faves'
1355669773984518148,2021-01-31 08:00:00,b'@dhtenshi @SuperRare \xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c'
1355227232038486028,2021-01-30 03:00:00,b'@dhtenshi huge fan of yours @dhtenshi!'
1351700940756234240,2021-01-20 09:00:00,b'@JoeLallouz \xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf'
1348307733422997504,2021-01-11 01:00:00,b'@pridesai what are the best resources to learn about investing in India?'
1339974880159215617,2020-12-19 01:00:00,b'@bramanathan @IDEOVC \xf0\x9f\xa5\xb3 congrats Reuben! flat white\xe2\x80\x99s on me sometime soon i hope!'
1305953958192656384,2020-09-16 03:00:00,b'@juliankoh \xf0\x9f\xa4\x9efor Q1. let\xe2\x80\x99s get it on the list!'
1305950113324347392,2020-09-16 02:00:00,b'@juliankoh have you been to Berber &amp; Q?'
1300949735252152330,2020-09-02 07:00:00,b'@juliankoh @tasha_jade best way to communicate \xf0\x9f\xa4\xa0'
1296638974841237506,2020-08-21 10:00:00,"b'@KyleVanPelt if you\xe2\x80\x99re investing, it\xe2\x80\x99s @M1_Finance'"
1275134521478836225,2020-06-23 02:00:00,"b""RT @M1_Finance: This casual Monday morning included watching #WWDC2020 while spotting M1 on Craig Federighi's phone https://t.co/X6CIoGlwvV"""
1273064053657571328,2020-06-17 08:00:00,"b'pretty cool @coinbase baked the 1,000,000th block\n\nhttps://t.co/b7jAAsPDgv https://t.co/oLhPT6M0fE'"
1270754654335283200,2020-06-10 23:00:00,"b'RT @M1_Finance: Thanks for the feature, @TechCrunch and @alex! \n\nhttps://t.co/RACm6k6fZf'"
1270106997510160384,2020-06-09 05:00:00,b'RT @CoinbaseCustody: Coinbase Custody now supports Polkadot ($DOT) https://t.co/y4NV8jgtUP https://t.co/S44b1QL1SC'
1265302252740198400,2020-05-26 22:00:00,"b""and here's our Cosmos validator: https://t.co/sSb8rQSzYZ"""
1265302250924077057,2020-05-26 22:00:00,b's/o to @carovee for designing a simple and intuitive workflow to safely stake (through Coinbase) and/or delegate (t\xe2\x80\xa6 https://t.co/NayY48Jhs1'
1265302248499720192,2020-05-26 22:00:00,b'Cosmos staking on @CoinbaseCustody https://t.co/4XCXv6IQcY'
1263553198310088706,2020-05-22 03:00:00,b'crypto exchanges represent an exciting new client segment for @CoinbaseCustody. \n\nproud to welcome a true innovator\xe2\x80\xa6 https://t.co/hqSvjBXF4p'
1262434984507215879,2020-05-19 00:00:00,"b""when these groups are ready to take the next step and hold spot BTC, we're building @CoinbaseCustody to be next eas\xe2\x80\xa6 https://t.co/e4y1TwlMWe"""
1262433728275419143,2020-05-19 00:00:00,"b'the metric i like to watch is ""Large Traders"" (as reported in the Commitment of Traders report). open interest can\xe2\x80\xa6 https://t.co/oIKWgKDjqe'"
1262433727352717313,2020-05-19 00:00:00,b'why?\n- most instos already connected to CME (0 onboard)\n- BTC futures trade like SPX futures (familiar)\n- can prob\xe2\x80\xa6 https://t.co/bHfuqyBp7W'
1262433725926608902,2020-05-19 00:00:00,"b'i like this phrasing, ""CME is the easiest onboard and best gauge of interest in Bitcoin for institutional investors\xe2\x80\xa6 https://t.co/sbUyh2LKzj'"
1251327622799187968,2020-04-18 09:00:00,b'@HaileyLennonBTC @CoinbaseCustody @Drizly @compoundfinance @sadbryce \xe2\x80\x9ctop 3 classiest hangouts\xe2\x80\x9d\n- @jaysonhobby'
1236134497462054912,2020-03-07 12:00:00,"b""RT @TheChicagoVC: E*Trade customers flocking to @M1_Finance. \n\nDon't get mad, get M1. \n\nhttps://t.co/We9b4dNpOl https://t.co/ix7wlZW9Lg"""
1234180614170955777,2020-03-02 02:00:00,b'congrats @juliankoh and @kenchangh! gettin\xe2\x80\x99 us ready for #eth2 \xf0\x9f\x92\xaa\xf0\x9f\x92\xaa\xf0\x9f\x92\xaa https://t.co/sTH1o61Jen'
1226900929657462786,2020-02-11 00:00:00,b'@CoinbaseCustody has a track record of supporting high-profile projects at launch. we\xe2\x80\x99ve previously partnered with\xe2\x80\xa6 https://t.co/JTnphwJcWj'
1226897671551504384,2020-02-11 00:00:00,b'Polkadot\xe2\x80\x99s launch is going to be one of the biggest highlights of 2020. \n\nwe\xe2\x80\x99re excited to partner with\xe2\x80\xa6 https://t.co/DqSIYa2jKf'
1223677326459899904,2020-02-02 03:00:00,b'TIL: Apple charges debit card issuers $10 per card to support Apple Pay regardless of whether the user adds their c\xe2\x80\xa6 https://t.co/rkhuyD3rfb'
