id,created_at,text
1324624005022830592,2020-11-06 16:00:00,b'@kunachii True'
1324622810908708864,2020-11-06 16:00:00,b'What\xe2\x80\x99s up?'
1110673196158717952,2019-03-27 06:00:00,b'RT @BitGiveOrg: @b4_humanity @koibanx @RSKsmart @rif_os @labitconf @labitcoineta @EspacioBitcoin @BitcoinAR @ripio @BitPay @bloqinc \n#GiveT\xe2\x80\xa6'
1108447766852837376,2019-03-21 02:00:00,b'RT @BitPay: Hey #MRCVegas19! Want to see for yourself how no-chargeback Bitcoin payments work? Drop by the BitPay booth and try a payment f\xe2\x80\xa6'
1108078798703079426,2019-03-20 02:00:00,"b""RT @Avnet: In partnership with @BitPay, we're now accepting cryptocurrency! It's as easy as verifying funds, processing an order and comple\xe2\x80\xa6"""
1067413016466128902,2018-11-27 22:00:00,b'Going on #coindesklive at #ConsensusInvest'
993820446553509888,2018-05-08 19:00:00,"b'RT @tylerwinklevoss: Dear @BillGates there is an easy way to short bitcoin. You can short #XBT, the @CBOE Bitcoin (USD) Futures contract, a\xe2\x80\xa6'"
989201134932946944,2018-04-26 01:00:00,b'we have something in the works ... it will be a lot simpler for wallets to implement https://t.co/yPvUE5QARi'
974033896768770050,2018-03-15 04:00:00,b'@rogerkver it is 33% for very small value transactions ... Bitcoin is a very valuable well proven blockchain for ma\xe2\x80\xa6 https://t.co/pbMAcLvIxr'
973197961919369222,2018-03-12 21:00:00,"b""@Technom4ge @DenariumBitcoin sorry to hear that Henry, I've written an explanation of how we compute the network co\xe2\x80\xa6 https://t.co/DoyH76RxaO"""
952530161479639042,2018-01-14 21:00:00,b'RT @BitPay: How Payment Protocol Is Eliminating Costly Bitcoin Payment Errors: Stats and Results | The BitPay Blog https://t.co/QFk78hUIyH\xe2\x80\xa6'
951458713969283072,2018-01-11 22:00:00,b'RT @BitPay: BitPay and Copay Wallet Users in Brazil Can Now Buy Mercado Livre Gift Cards In-App | The BitPay Blog https://t.co/VJaAPnnoQW #\xe2\x80\xa6'
950135202004848640,2018-01-08 07:00:00,"b'We deliberately moved to 6 decimal places on @BitPay invoices so that we could eventually drop the leading ""0."" and\xe2\x80\xa6 https://t.co/wgj1H8swfv'"
938451196624465920,2017-12-07 01:00:00,b'https://t.co/uKpKpKXu3u'
928319914884108306,2017-11-09 02:00:00,"b'RT @CharlieShrem: BREAKING: ""SegWit2X Suspending plans for the upcoming 2MB upgrade."" #Bitcoin\nhttps://t.co/9eWcFOBm2A'"
928311825510420481,2017-11-09 01:00:00,b'I just published \xe2\x80\x9cSegwit2x Should Be Canceled\xe2\x80\x9d https://t.co/0xn0iwjx5f'
915560113053868032,2017-10-04 20:00:00,"b'BitPay\xe2\x80\x99s Bitcoin Payments Volume Grows by 328%, On Pace for $1 Billion Yearly https://t.co/Ls3S8Ce1zZ via @bitpay'"
908822695210553344,2017-09-16 06:00:00,b'https://t.co/PfqurZAAXx'
908376357322797061,2017-09-15 00:00:00,b'\xe2\x80\x9cHow B2B Bitcoin Payments Are Opening International Markets to US Businesses\xe2\x80\x9d by @BitPay https://t.co/XaAShQFa6o'
906862922361696256,2017-09-10 20:00:00,b'https://t.co/lGnUSziHLI'
901455944722329600,2017-08-26 22:00:00,"b'""About one in three graphics cards sold at retail, to OEMs or businesses was used for cryptocurrency mining.""'"
901455379518849025,2017-08-26 22:00:00,b'incredible: https://t.co/V0e6fYecbX'
901453834324672513,2017-08-26 22:00:00,"b""will electricity eventually only be sold for #bitcoin?... we'll know this is happening when miners start buying electric companies"""
901175985046990849,2017-08-26 03:00:00,b'I just published \xe2\x80\x9cBitPay\xe2\x80\x99s Perspective on Segwit2x\xe2\x80\x9d https://t.co/lVgHVtrqXp'
900463551881654273,2017-08-24 04:00:00,b'love hearing #bitcoin stories like this: https://t.co/9f2VdchFsj'
898557412466184192,2017-08-18 22:00:00,b'the scale that #bitcoin mining has reached is impressive: https://t.co/haXqbchEQk'
897178515862376448,2017-08-15 03:00:00,b'I just published \xe2\x80\x9cBitcoin is 24x7: Why BitPay Didn\xe2\x80\x99t Stop for the Bitcoin Cash Fork\xe2\x80\x9d https://t.co/V2kqfaGN92'
890988940945227777,2017-07-29 01:00:00,b'RT @BitPay: BitPay Does Not Plan to Suspend Service on August 1st\n | The BitPay Blog https://t.co/pd5dRaHIJp #Bitcoin'
890988901187432448,2017-07-29 01:00:00,b'RT @BitPay: What BitPay and Copay Users Need to Know About the Bitcoin Cash Fork | The BitPay Blog https://t.co/YD1dwGctRv #Bitcoin #Bitcoi\xe2\x80\xa6'
877845355886465024,2017-06-22 18:00:00,b'https://t.co/sADzBN6bNL #bitcoin'
873400974941073408,2017-06-10 12:00:00,b'RT @BitPay: BitPay investor Ashton Kutcher dropped by our office this week to talk to our team &amp; share insights on taking #bitcoin payments\xe2\x80\xa6'
865407692537380864,2017-05-19 10:00:00,"b""@lightcoin it's more like a stock split than inflationary...the proposal is to fork the current chain, not create a new one"""
865322633830821896,2017-05-19 05:00:00,"b""@SatoshiLite we used to say this about people that didn't mine"""
865317494625619970,2017-05-19 04:00:00,b'interesting idea: https://t.co/dv5b3dPomK'
865264953040805889,2017-05-19 01:00:00,b'I just published \xe2\x80\x9cOur Conspiracy with Bitmain\xe2\x80\x9d https://t.co/DEc7zGyQWk'
865032057038278656,2017-05-18 10:00:00,b'@mdotbit hehe ... I totally forgot about that!'
865030104027717632,2017-05-18 09:00:00,"b""here's an idea, #bitcoin holidays to let the transaction backlog clear"""
864997845480292354,2017-05-18 07:00:00,"b""to clarify BitPay's stance, we assumed this was segwit+2mb HF by @SDLerner ... not a rehash of the HK consensus (wh\xe2\x80\xa6 https://t.co/Luhqhdp95J"""
864956021072162821,2017-05-18 04:00:00,"b'posted on internal @BitPay chat: ""BitPayers talking in #support-pit about who\xe2\x80\x99s answered the most tickets: https://t.co/RB6QHB1Vtf""'"
